PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR,IN_DRUGBANK,DRUG_STATUS,VALIDATION_STATUS,DRUGBANK_DESCRIPTION
CETIRIZINE + MYCOPHENOLATE MOFETIL,169,150,7.63380339088963,4.736424404903659,12.30357527725461,TOP_ROR,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,Cetirizine may decrease the excretion rate of Mycophenolate mofetil which could result in a higher serum level.
ALENDRONIC ACID + NAPROXEN,160,142,7.628021736561688,4.6712478169150105,12.456353825365088,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of adverse effects can be increased when Naproxen is combined with Alendronic acid.
CELECOXIB + INFLIXIMAB,204,181,7.6099522847477665,4.9310752124752675,11.744167606615717,TOP_ROR,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The metabolism of Celecoxib can be increased when combined with Infliximab.
CHOLECALCIFEROL + QUETIAPINE FUMARATE,115,102,7.586068428148789,4.259228784869016,13.511468179637978,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
CEFTAZIDIME + CIPROFLOXACIN,106,94,7.573546829536775,4.152921321726559,13.81162972655112,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,Ceftazidime may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.
ALENDRONIC ACID + PANTOPRAZOLE,132,117,7.541677539608574,4.405682049580802,12.909896690535852,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The therapeutic efficacy of Alendronic acid can be decreased when used in combination with Pantoprazole.
IBUPROFEN + QUETIAPINE FUMARATE,158,140,7.520548865474268,4.603619930534549,12.285691714654426,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
FLUCONAZOLE + MYCOPHENOLIC ACID,114,101,7.511677258572018,4.216099883030905,13.38329185796816,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,Fluconazole may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.
ACETAMINOPHEN + ADALIMUMAB,350,310,7.496327792348133,5.392959860724747,10.420053518213862,TOP_ROR,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The metabolism of Acetaminophen can be increased when combined with Adalimumab.
CETIRIZINE + HYDROXYCHLOROQUINE,166,147,7.481073687229258,4.639123386050209,12.06401702572613,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Hydroxychloroquine.
PHENOBARBITAL + PROPOFOL,131,116,7.477200889269109,4.366866625883408,12.802894598865052,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The metabolism of Propofol can be increased when combined with Phenobarbital.
COCAINE + METHADONE,192,170,7.472175974077188,4.792610903561405,11.64989499691836,TOP_ROR,['OPIOIDS'],OPIOIDS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of adverse effects can be increased when Cocaine is combined with Methadone.
LEFLUNOMIDE + SULFAMETHOXAZOLE / TRIMETHOPRIM,148,131,7.450889347843445,4.495338959077908,12.349625374010596,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
SULFASALAZINE + TRAMADOL HYDROCHLORIDE,172,152,7.348825026587164,4.610371098005888,11.713857328047318,TOP_ROR,['OPIOIDS'],OPIOIDS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
ADALIMUMAB + CANDESARTAN,257,227,7.317724129139179,5.000394489844723,10.708972369867688,TOP_ROR,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The metabolism of Candesartan can be increased when combined with Adalimumab.
CYCLOPHOSPHAMIDE + EPCORITAMAB,154,136,7.305606205319672,4.468372880943357,11.944366204267514,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The serum concentration of Cyclophosphamide can be increased when it is combined with Epcoritamab.
PIPERACILLIN SODIUM\TAZOBACTAM SODIUM + PREDNISONE,238,210,7.2529919187718255,4.88937239572584,10.759231965999582,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
SULFASALAZINE + ZOPICLONE,102,90,7.2511989333256865,3.97016538761457,13.243752044862696,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of methemoglobinemia can be increased when Sulfasalazine is combined with Zopiclone.
MEROPENEM + PREDNISONE,229,202,7.234962835488667,4.841773731435846,10.811056058040778,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,Prednisone may decrease the excretion rate of Meropenem which could result in a higher serum level.
MAGNESIUM + POLYETHYLENE GLYCOL,110,97,7.214116135483432,4.043598933125207,12.870581993160036,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of adverse effects can be increased when Polyethylene glycol is combined with Magnesium.
CELECOXIB + DICLOFENAC SODIUM,236,208,7.183881463594355,4.841704172939383,10.659088420027,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
CARBOPLATIN + SULFAMETHOXAZOLE / TRIMETHOPRIM,118,104,7.182344665989163,4.110859108819575,12.548733375558529,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
FENTANYL + QUETIAPINE,183,161,7.076437975564703,4.532346664263115,11.048575524210436,TOP_ROR,['OPIOIDS'],OPIOIDS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of adverse effects can be increased when Quetiapine is combined with Fentanyl.
DICLOFENAC + PANTOPRAZOLE SODIUM,239,210,7.0028714408956185,4.749384399681807,10.32559260122154,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
FENTANYL + OLANZAPINE,181,159,6.988498510007587,4.4745159891705875,10.914948464276526,TOP_ROR,['OPIOIDS'],OPIOIDS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of adverse effects can be increased when Olanzapine is combined with Fentanyl.
DICLOFENAC + PSEUDOEPHEDRINE HYDROCHLORIDE,148,130,6.983199919917432,4.265525578709609,11.43237339026509,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
LANSOPRAZOLE + QUETIAPINE FUMARATE,123,108,6.96139877986709,4.056383502771519,11.946866695228412,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
ETOPOSIDE + ONDANSETRON,172,151,6.952801907693456,4.40457526683469,10.975281710276224,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The metabolism of Etoposide can be decreased when combined with Ondansetron.
DICLOFENAC POTASSIUM + NAPROXEN,155,136,6.9210835098720604,4.282405264327401,11.185629101860917,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + HYDROXYCHLOROQUINE SULFATE,106,93,6.916560700622121,3.871123256579416,12.357863274976545,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
CELECOXIB + OXYCODONE,216,189,6.769136085736547,4.5226776759599705,10.131432445602004,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The metabolism of Oxycodone can be decreased when combined with Celecoxib.
ACETAMINOPHEN + VINCRISTINE SULFATE,152,133,6.768364025675463,4.18513407530087,10.946065468825973,HIGH_RISK_CLASS,['ANTINEOPLASTICS'],ANTINEOPLASTICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
APIXABAN + OLANZAPINE,120,105,6.767978073130983,3.9399724286500186,11.625849679886327,HIGH_RISK_CLASS,['ANTICOAGULANTS'],ANTICOAGULANTS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The metabolism of Apixaban can be decreased when combined with Olanzapine.
CANDESARTAN + RITUXIMAB,293,256,6.691635299527136,4.74034142814646,9.446151434578509,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,Candesartan may increase the hypotensive activities of Rituximab.
METHOTREXATE + SULFAMETHOXAZOLE,171,149,6.548813791898789,4.185397455199484,10.246807511120762,HIGH_RISK_CLASS,['ANTINEOPLASTICS'],ANTINEOPLASTICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of adverse effects can be increased when Sulfamethoxazole is combined with Methotrexate.
FENTANYL + ZOPICLONE,107,93,6.422504777334237,3.6616468565120432,11.26503161863431,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of adverse effects can be increased when Fentanyl is combined with Zopiclone.
INFLIXIMAB + SULFAMETHOXAZOLE / TRIMETHOPRIM,113,98,6.316673875139689,3.668395384153601,10.876790712699682,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
DIAZEPAM + METHADONE,263,228,6.29990360295481,4.41358078942527,8.992423000756089,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,Diazepam may increase the central nervous system depressant (CNS depressant) activities of Methadone.
EPCORITAMAB + VINCRISTINE,127,110,6.256158009386699,3.7537831218887665,10.426684698480868,HIGH_RISK_CLASS,['ANTINEOPLASTICS'],ANTINEOPLASTICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The serum concentration of Vincristine can be increased when it is combined with Epcoritamab.
DIAZEPAM + FENTANYL,257,222,6.134028693331694,4.294625949292408,8.761253821608358,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of adverse effects can be increased when Fentanyl is combined with Diazepam.
OLANZAPINE + OXYCODONE,154,133,6.123727657838934,3.864816939783086,9.702927981237378,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of adverse effects can be increased when Olanzapine is combined with Oxycodone.
APREMILAST + RITUXIMAB,139,120,6.106604897349008,3.763715430953233,9.907928496837052,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The therapeutic efficacy of Apremilast can be decreased when used in combination with Rituximab.
ACETAMINOPHEN + VANCOMYCIN,349,300,5.921776294305887,4.378049570331067,8.009830385988838,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,Acetaminophen may decrease the excretion rate of Vancomycin which could result in a higher serum level.
CEFAZOLIN + VANCOMYCIN,128,110,5.90857907231328,3.589609869648676,9.72565485429628,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,Cefazolin may decrease the excretion rate of Vancomycin which could result in a higher serum level.
HYDROCORTISONE + OXYCODONE,269,231,5.878890604878947,4.171309548774781,8.285492682815999,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The metabolism of Hydrocortisone can be decreased when combined with Oxycodone.
HYDROMORPHONE + POLYETHYLENE GLYCOL,127,109,5.854850726256153,3.555825705059412,9.64031419705636,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Hydromorphone.
AMLODIPINE + MORPHINE SULFATE,141,121,5.849618129071418,3.644616702360522,9.388650453639992,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
ADALIMUMAB + IBUPROFEN,161,138,5.801466845422023,3.730923810336232,9.021094846613272,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The metabolism of Ibuprofen can be increased when combined with Adalimumab.
CHOLECALCIFEROL + TRAMADOL HYDROCHLORIDE,132,113,5.750290089078036,3.5368674964128313,9.348904402578038,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
ALLOPURINOL + HYDROMORPHONE,118,101,5.744166998628951,3.4361293248110303,9.602506596561966,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,Hydromorphone may decrease the excretion rate of Allopurinol which could result in a higher serum level.
APIXABAN + DILTIAZEM,117,100,5.687280467915301,3.4008416398806394,9.510927748422333,HIGH_RISK_CLASS,['ANTICOAGULANTS'],ANTICOAGULANTS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The metabolism of Apixaban can be decreased when combined with Diltiazem.
CYCLOPHOSPHAMIDE + ONDANSETRON,520,443,5.566193035842248,4.369617367257014,7.09043888932264,HIGH_RISK_CLASS,['ANTINEOPLASTICS'],ANTINEOPLASTICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The metabolism of Cyclophosphamide can be decreased when combined with Ondansetron.
FLUCONAZOLE + VANCOMYCIN,351,299,5.56148036759362,4.142673632627932,7.466208208033173,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,Fluconazole may decrease the excretion rate of Vancomycin which could result in a higher serum level.
CORTISONE ACETATE + RITUXIMAB,229,195,5.546124490064482,3.852834420955152,7.983602070204579,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of adverse effects can be increased when Rituximab is combined with Cortisone acetate.
SULFASALAZINE + TOCILIZUMAB,175,149,5.541249195267234,3.653262293357323,8.404937882473167,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Tocilizumab.
ONDANSETRON + VINCRISTINE,121,103,5.532486042211623,3.3531487503522963,9.128256479540484,HIGH_RISK_CLASS,['ANTINEOPLASTICS'],ANTINEOPLASTICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The metabolism of Vincristine can be decreased when combined with Ondansetron.
DESOXIMETASONE + INFLIXIMAB,308,262,5.508508830506757,4.026647852848914,7.535714729636048,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of adverse effects can be increased when Infliximab is combined with Desoximetasone.
