PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR
ADALIMUMAB + PSEUDOEPHEDRINE HYDROCHLORIDE,132,118,8.149471389415089,4.682818504479289,14.182459530167092,TOP_ROR,['BIOLOGICS'],BIOLOGICS
ACETAMINOPHEN + LITHIUM,113,101,8.137670475635186,4.472806898432779,14.805396761757804,TOP_ROR,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX
CORTISONE ACETATE + KEVZARA,122,109,8.106816570083456,4.561168477452167,14.408692690450808,TOP_ROR,[],NONE
DICLOFENAC + HYDROCORTISONE,178,159,8.09200564217047,5.028360263670061,13.022248184167749,TOP_ROR,[],NONE
OLANZAPINE + SULFAMETHOXAZOLE / TRIMETHOPRIM,103,92,8.08624410631603,4.326916607550554,15.111764260219058,TOP_ROR,[],NONE
CELLCEPT + LANSOPRAZOLE,103,92,8.08624410631603,4.326916607550554,15.111764260219058,TOP_ROR,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + DICLOFENAC,103,92,8.08624410631603,4.326916607550554,15.111764260219058,TOP_ROR,[],NONE
INFLIXIMAB + TRIAMCINOLONE ACETONIDE,103,92,8.08624410631603,4.326916607550554,15.111764260219058,TOP_ROR,['BIOLOGICS'],BIOLOGICS
BACTRIM + LENALIDOMIDE,187,167,8.074327470006214,5.077903042013302,12.838914716073091,TOP_ROR,[],NONE
DICLOFENAC SODIUM + FOLIC ACID,560,500,8.0638320094462,6.1691867064051245,10.54034993122463,TOP_ROR,[],NONE
CETIRIZINE + RITUXIMAB,308,275,8.060032543492257,5.617056882463975,11.565509476139963,TOP_ROR,['BIOLOGICS'],BIOLOGICS
ALENDRONIC ACID + DESOXIMETASONE,168,150,8.057923494655906,4.941786448845976,13.138999776263168,TOP_ROR,[],NONE
AMLODIPINE + PIPERACILLIN SODIUM\TAZOBACTAM SODIUM,112,100,8.057080227900348,4.42710447238728,14.66343118932926,TOP_ROR,[],NONE
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + ORENCIA,177,158,8.04109330753592,4.995920635065944,12.942395667109214,TOP_ROR,[],NONE
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + REMICADE,149,133,8.037491874853627,4.784885988096433,13.501110747267427,TOP_ROR,['BIOLOGICS'],BIOLOGICS
CETIRIZINE HYDROCHLORIDE + KEVZARA,121,108,8.032422911764527,4.5180304375195055,14.280518629897164,TOP_ROR,[],NONE
CHOLECALCIFEROL + DESOXIMETASONE,121,108,8.032422911764527,4.5180304375195055,14.280518629897164,TOP_ROR,[],NONE
DESOXIMETASONE + METHYLPREDNISOLONE SODIUM SUCCINATE,130,116,8.01130646704653,4.601096494890758,13.949073091644731,TOP_ROR,[],NONE
CALCIUM CARBONATE + DICLOFENAC,130,116,8.01130646704653,4.601096494890758,13.949073091644731,TOP_ROR,[],NONE
FOSAMAX + HUMIRA,250,223,7.987513354488047,5.3573588319220375,11.908922211438934,TOP_ROR,['BIOLOGICS'],BIOLOGICS
CELECOXIB + CHOLECALCIFEROL,157,140,7.96295377346966,4.813269496163643,13.17371338732513,TOP_ROR,[],NONE
CANDESARTAN + SIMPONI,120,107,7.958029608987839,4.474893616989132,14.152344318776889,TOP_ROR,[],NONE
SULFASALAZINE + TRAMADOL HYDROCHLORIDE,175,156,7.939269368313131,4.931043065115146,12.782690653942463,TOP_ROR,['OPIOIDS'],OPIOIDS
ALENDRONATE SODIUM + CIMZIA,230,205,7.929901860022659,5.235190066897128,12.011663894919764,TOP_ROR,[],NONE
FUROSEMIDE + OXAZEPAM,184,164,7.929222819969265,4.9843869007356645,12.613903330706885,TOP_ROR,[],NONE
ERELZI + XELJANZ,285,254,7.924473349406859,5.457772656433469,11.506026692305682,TOP_ROR,[],NONE
ENBREL + QUETIAPINE FUMARATE,101,90,7.910418386837573,4.229695359030754,14.794143252235802,TOP_ROR,['BIOLOGICS'],BIOLOGICS
COSENTYX + TOCILIZUMAB,101,90,7.910418386837573,4.229695359030754,14.794143252235802,TOP_ROR,['BIOLOGICS'],BIOLOGICS
MEROPENEM + ONDANSETRON,101,90,7.910418386837573,4.229695359030754,14.794143252235802,TOP_ROR,[],NONE
ARAVA + CERTOLIZUMAB PEGOL,110,98,7.895900887876782,4.335703959643896,14.37949901826183,TOP_ROR,[],NONE
PHENYLEPHRINE HYDROCHLORIDE + SULFASALAZINE,110,98,7.895900887876782,4.335703959643896,14.37949901826183,TOP_ROR,[],NONE
CIMZIA + STELARA,183,163,7.880855065675009,4.953215887298719,12.538899571374534,TOP_ROR,[],NONE
LANSOPRAZOLE + LANTUS,128,114,7.87314286533591,4.5193786856827955,13.715685913720844,TOP_ROR,[],NONE
FOLIC ACID + SULFAMETHOXAZOLE / TRIMETHOPRIM,329,293,7.872245491342347,5.568705824720925,11.12866274976298,TOP_ROR,[],NONE
FOSAMAX + ORENCIA,265,236,7.870382723499216,5.351651693630677,11.57454329250854,TOP_ROR,[],NONE
DICLOFENAC SODIUM + KEVZARA,137,122,7.864065413674581,4.599774433437143,13.444903815498774,TOP_ROR,[],NONE
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + CORTISONE ACETATE,137,122,7.864065413674581,4.599774433437143,13.444903815498774,TOP_ROR,[],NONE
RAMIPRIL + VITAMIN D2,146,130,7.856138743048867,4.673920206924188,13.204957127552118,TOP_ROR,[],NONE
ASCORBIC ACID + FOSAMAX,155,138,7.849159775321555,4.742612969352595,12.990583371793909,TOP_ROR,[],NONE
FOSAMAX + PANTOPRAZOLE,100,89,7.822506157301067,4.1810874235528726,14.63533200389664,TOP_ROR,[],NONE
LORAZEPAM + SULFASALAZINE,100,89,7.822506157301067,4.1810874235528726,14.63533200389664,TOP_ROR,[],NONE
DICLOFENAC + RITUXIMAB,454,404,7.817089838659151,5.826650547244783,10.487482139213494,TOP_ROR,['BIOLOGICS'],BIOLOGICS
CEFEPIME + CYCLOPHOSPHAMIDE,109,97,7.815311795582531,4.290005944387461,14.23753236101692,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS
HYDROXYCHLOROQUINE + METHYLPREDNISOLONE SODIUM SUCCINATE,109,97,7.815311795582531,4.290005944387461,14.23753236101692,TOP_ROR,[],NONE
CORTISONE ACETATE + FOSAMAX,227,202,7.813798487039449,5.156812791892857,11.839764067457834,TOP_ROR,[],NONE
ACETAMINOPHEN + DESOXIMETASONE,354,315,7.812662757543123,5.6013324558805,10.89699635646899,TOP_ROR,[],NONE
