PAIR,ROR_H1,N_EXPOSED_H1,SIGNAL_H1,ROR_H2,N_EXPOSED_H2,SIGNAL_H2,STABLE,UNSTABLE
(-)-ARTERENOL + PREDNISONE,7.008609320572059,33,True,6.766820525317393,24,True,True,False
(-)-ARTERENOL + PROPOFOL,3.271968195897159,57,True,4.212288569203074,75,True,True,False
(-)-ARTERENOL + QUETIAPINE,5.800021501523025,14,True,23.20020068088156,12,True,True,False
(-)-ARTERENOL + ROCURONIUM,9.18352095716825,21,True,20.30056191855048,22,True,True,False
(-)-ARTERENOL + SODIUM BICARBONATE,6.573654471476731,39,True,12.32613323585068,55,True,True,False
(-)-ARTERENOL + SODIUM CHLORIDE,2.2095258118011727,23,False,8.700156963368046,20,True,True,False
(-)-ARTERENOL + TACROLIMUS,2.658323697488628,15,False,12.08375342243204,27,True,True,False
(-)-ARTERENOL + THIAMINE,7.7334359045418815,18,True,30.93389651934797,16,True,True,False
(-)-ARTERENOL + VANCOMYCIN,3.7979106564304352,69,True,4.005306366274108,108,True,True,False
(-)-ARTERENOL + VASOPRESSIN,2.900595780070404,192,True,3.898637036607633,156,True,True,False
(-)-ARTERENOL + VORICONAZOLE,8.699991399452431,10,True,6.766724083971016,16,True,True,False
3-HYDROXYTYRAMINE + AMINOPHYLLINE,2.255531399812063,10,False,12.566774333809551,14,True,True,False
3-HYDROXYTYRAMINE + DOBUTAMINE,2.1750069880951526,26,False,3.8666714447828943,15,True,True,False
3-HYDROXYTYRAMINE + EPINEPHRINE,4.281109679128105,38,True,5.606873599357795,34,True,True,False
3-HYDROXYTYRAMINE + FUROSEMIDE,2.4166521332992494,14,False,11.11700002866945,25,True,True,False
3-HYDROXYTYRAMINE + HYDROCORTISONE,7.250078839482813,17,True,9.18352095716825,21,True,True,False
3-HYDROXYTYRAMINE + MIDAZOLAM,29.000458702445457,15,True,4.833328157065486,12,True,True,False
3-HYDROXYTYRAMINE + VASOPRESSIN,11.600071671743414,13,True,11.11700002866945,25,True,True,False
8-1 MARVEL AID + ACETAMINOPHEN,7.250078839482813,17,True,11.11700002866945,25,True,True,False
8-1 MARVEL AID + ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE,9.66668020459796,11,True,8.699991399452431,10,True,True,False
8-1 MARVEL AID + ACTEMRA,11.600071671743414,13,True,6.766724083971016,16,True,True,False
8-1 MARVEL AID + ARAVA,10.633373628683918,12,True,10.633373628683918,12,True,True,False
8-1 MARVEL AID + CHLORHEXIDINE GLUCONATE,21.266799816520773,11,True,3.8666714447828943,15,True,True,False
8-1 MARVEL AID + CLORHEXIDINA,8.699991399452431,10,True,29.000458702445457,15,True,True,False
8-1 MARVEL AID + ENBREL,8.699991399452431,10,True,7.7334359045418815,18,True,True,False
8-1 MARVEL AID + ERELZI,19.33340819012989,10,True,29.000458702445457,15,True,True,False
8-1 MARVEL AID + FOSAMAX,19.33340819012989,10,True,23.20020068088156,12,True,True,False
8-1 MARVEL AID + HUMIRA,23.20020068088156,12,True,19.33340819012989,10,True,True,False
8-1 MARVEL AID + IBUPROFEN,14.500193515094177,16,True,6.122332173824405,22,True,True,False
8-1 MARVEL AID + LEFLUNOMIDE,27.06703012377769,14,True,5.800021501523025,14,True,True,False
8-1 MARVEL AID + METHOTREXATE,3.8666714447828943,15,True,6.283371637989937,15,True,True,False
8-1 MARVEL AID + OXYCODONE HYDROCHLORIDE,21.266799816520773,11,True,23.20020068088156,12,True,True,False
8-1 MARVEL AID + PANTOPRAZOLE SODIUM,11.600071671743414,13,True,7.250078839482813,17,True,True,False
8-1 MARVEL AID + QUETIAPINE FUMARATE,23.20020068088156,12,True,23.20020068088156,12,True,True,False
8-1 MARVEL AID + RITUXIMAB,8.699991399452431,10,True,8.700156963368046,20,True,True,False
8-1 MARVEL AID + SIMPONI,23.20020068088156,12,True,13.53348161491544,15,True,True,False
8-1 MARVEL AID + SULFASALAZINE,23.20020068088156,12,True,16.433631172802638,18,True,True,False
8-1 MARVEL AID + ZOPICLONE,17.400356930398573,19,True,4.25341918220587,27,True,True,False
ABATACEPT + ACETAMINOPHEN,3.222210807887995,13,False,10.633373628683918,12,True,True,False
ABATACEPT + FOLIC ACID,3.625021501677131,19,True,4.833328157065486,12,True,True,False
ABEMACICLIB + METFORMIN,14.500193515094177,16,True,1.772207038466929,17,False,False,True
ABEMACICLIB + PERPRAZOLE,21.266799816520773,11,True,1.933312469091856,12,False,False,True
ABILIFY + ACETAMINOPHEN,1.318166832164424,26,False,5.075102851163257,25,True,False,True
ABILIFY + ALPRAZOLAM,0.9062284983228692,31,False,15.950859387319198,35,True,False,True
ABILIFY + ASPIRIN,3.625021501677131,19,True,1.7185115813353318,25,False,False,True
ABILIFY + BUPROPION,1.4499806487679716,15,False,3.0381415414229913,29,True,False,True
ABILIFY + CYAMEMAZINE,2.577756329549898,11,False,27.06703012377769,14,True,True,False
ABILIFY + LAMICTAL,1.993788435900744,49,False,4.591900828815742,46,True,False,True
ABILIFY + LITHIUM CARBONATE,2.658323697488628,15,False,3.3833453184988045,18,True,True,False
ABILIFY + MIRTAZAPINE,1.5036904487920202,23,False,4.108377332345844,21,True,False,True
ABILIFY + PAROXETINE,1.611093458710504,16,False,16.9176589766624,37,True,False,True
ABILIFY + SERTRALINE,0.9666465190395076,20,False,4.156907756412707,53,True,False,True
ABILIFY + SERTRALINE HYDROCHLORIDE,2.4166521332992494,14,False,10.633626796315983,24,True,True,False
ABILIFY + VALPROATE SODIUM,4.25341918220587,27,True,2.9000100341159945,20,True,True,False
ABILIFY MAINTENA + QUETIAPINE,1.159981365346712,22,False,4.189003116232361,32,True,False,True
ABIRATERONE + ASPIRIN,5.800021501523025,14,True,2.812203457566671,43,True,True,False
ABIRATERONE + METOPROLOL,4.833328157065486,12,True,9.66668020459796,11,True,True,False
ABIRATERONE + ROSUVASTATIN,6.122332173824405,22,True,2.2019255018829735,59,True,True,False
ABIRATERONE ACETATE + ALLOPURINOL,0.6904586710096742,12,False,10.150255873625666,23,True,False,True
ABIRATERONE ACETATE + PREDNISOLONE,1.657128522794174,19,False,6.122332173824405,22,True,False,True
ABIRATERONE ACETATE + ROSUVASTATIN,23.200808480443804,25,True,8.216795279164776,19,True,True,False
ABIRATERONE AND CORTICOSTEROIDS + MYCOPHENOLATE MOFETIL,2.1749817238364177,13,False,2.623830707145724,26,True,True,False
ABRAXANE + GEMZAR,3.625021501677131,19,True,4.3499849490417555,11,False,True,False
ACARBOSE + ASPIRIN,4.3499849490417555,11,False,2.1750069880951526,26,False,True,False
ACARBOSE + ATORVASTATIN,8.699991399452431,10,True,4.511138240322874,17,True,True,False
ACARBOSE + DAPAGLIFLOZIN,6.5252257740825685,31,True,4.0278779886054314,31,True,True,False
ACARBOSE + GLICLAZIDE,6.283535733142839,30,True,2.255531399812063,10,False,True,False
ACARBOSE + IRBESARTAN,7.7334359045418815,18,True,5.800021501523025,14,True,True,False
ACARBOSE + METFORMIN,3.38342503685263,36,True,3.705630043036031,29,True,True,False
ACARBOSE + METFORMIN HYDROCHLORIDE,8.216795279164776,19,True,5.800090307691205,21,True,True,False
ACEBUTOLOL + ASPIRIN,23.20020068088156,12,True,10.633373628683918,12,True,True,False
ACEBUTOLOL + FUROSEMIDE,10.633373628683918,12,True,3.866644050465981,10,False,True,False
ACEBUTOLOL HYDROCHLORIDE + ASPIRIN,23.20020068088156,12,True,6.283371637989937,15,True,True,False
ACEBUTOLOL HYDROCHLORIDE + FUROSEMIDE,23.20020068088156,12,True,23.20020068088156,12,True,True,False
ACEMETACIN + COSENTYX,50.26878280585148,26,True,36.73426540012614,19,True,True,False
ACEMETACIN + IBUPROFEN,12.566774333809551,14,True,29.000458702445457,15,True,True,False
ACENOCOUMAROL + ATORVASTATIN,2.8999827989048637,12,False,34.8007998681221,18,True,True,False
ACENOCOUMAROL + BISOPROLOL,2.07142549976041,22,False,18.367087307199785,20,True,True,False
ACENOCOUMAROL + FUROSEMIDE,2.577786484650553,22,True,3.705630043036031,29,True,True,False
ACENOCOUMAROL + OMEPRAZOLE,11.600071671743414,13,True,1.6916559357626986,22,False,False,True
