PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,B_NONSERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,CHI2,P_VALUE,P_VALUE_RANK,P_VALUE_FDR,SIGNAL,PCT_SERIOUS,FLAG_HIGH_SERIOUS_RATE,CI_RATIO,FLAG_WIDE_CI,FLAG_SMALL_N_HIGH_ROR,FLAG_POSSIBLE_VETERINARY,FLAG_SAME_DRUG,QUALITY_FLAGS
HYDROCORTISONE + STELARA,109,96,13,7.139726743503169,4.000477544188981,12.742403227819818,58.96288458352303,1.6067427770563987e-14,3794,9.586178816747185e-13,True,88.07339449541286,False,3.185220536065549,False,False,False,False,0
ENBREL + METHYLPREDNISOLONE SODIUM SUCCINATE,109,96,13,7.139726743503169,4.000477544188981,12.742403227819818,58.96288458352303,1.6067427770563987e-14,3793,9.586178816747185e-13,True,88.07339449541286,False,3.185220536065549,False,False,False,False,0
ADALIMUMAB + DESOXIMETASONE,243,214,29,7.136327697022052,4.842027758712424,10.517736687413466,133.23165823539466,8.045419099859066e-31,599,3.040657599912464e-28,True,88.06584362139918,False,2.172176041016813,False,False,False,False,0
METHOTREXATE + OXYCODONE,476,419,57,7.111823561553536,5.392564942591021,9.37921655262742,261.9027256567867,6.603483370372555e-59,69,2.1668804315261064e-55,True,88.02521008403362,False,1.739286712812566,False,False,False,False,0
ALLOPURINOL + POLYETHYLENE GLYCOL,142,125,17,7.109525300912838,4.28342189076391,11.80022684977815,77.07380007560248,1.646875988466867e-18,2361,1.5793408198080946e-16,True,88.02816901408451,False,2.7548598178531707,False,False,False,False,0
CHOLECALCIFEROL + COSENTYX,167,147,20,7.107002437625466,4.454556333897997,11.338835983294336,90.88476318427288,1.522878494210163e-21,1685,2.0451192342946421e-19,True,88.02395209580838,False,2.545446759087721,False,False,False,False,0
ALENDRONATE SODIUM + PHTHALYLSULFATHIAZOLE,167,147,20,7.107002437625466,4.454556333897997,11.338835983294336,90.88476318427288,1.522878494210163e-21,1686,2.0451192342946421e-19,True,88.02395209580838,False,2.545446759087721,False,False,False,False,0
DICLOFENAC SODIUM + FOLIC ACID,533,469,64,7.090536418546917,5.460515595315629,9.207135448137862,292.9455576584351,1.134375774334693e-65,40,6.4210773518328135e-62,True,87.99249530956847,False,1.6861293201023577,False,False,False,False,0
ATORVASTATIN + OXALIPLATIN,125,110,15,7.0903474583629045,4.133997239089646,12.160875823754544,67.56531888736666,2.0382144947470722e-16,3035,1.5205550229708163e-14,True,88.0,False,2.9416748779523885,False,False,False,False,0
HYDROXYCHLOROQUINE + OXYCODONE,208,183,25,7.078515788567987,4.660500457610707,10.751074101319526,113.30066137067706,1.8541540759169343e-26,955,4.395956623674979e-24,True,87.98076923076923,False,2.306849704040425,False,False,False,False,0
ADALIMUMAB + CANDESARTAN,257,226,31,7.050437455967763,4.843659751596861,10.262625962553455,140.0213155421065,2.63361646928126e-32,519,1.1489367509474457e-29,True,87.93774319066148,False,2.1187751594587265,False,False,False,False,0
ERELZI + KORTISON,124,109,15,7.025872965046351,4.095189754200828,12.053871464767406,66.66047103691982,3.225384145665269e-16,3117,2.3421585230700417e-14,True,87.90322580645162,False,2.943421962902353,False,False,False,False,0
(-)-ARTERENOL + DOBUTAMINE,124,109,15,7.025872965046351,4.095189754200828,12.053871464767406,66.66047103691982,3.225384145665269e-16,3118,2.3421585230700417e-14,True,87.90322580645162,False,2.943421962902353,False,False,False,False,0
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + CORTISONE ACETATE,124,109,15,7.025872965046351,4.095189754200828,12.053871464767406,66.66047103691982,3.225384145665269e-16,3116,2.3421585230700417e-14,True,87.90322580645162,False,2.943421962902353,False,False,False,False,0
PANTOPRAZOLE + PIPERACILLIN SODIUM\TAZOBACTAM SODIUM,206,181,25,7.001121494433637,4.608265433936159,10.636475455354535,111.48807872348677,4.6257848856165854e-26,1001,1.0463146475839521e-23,True,87.86407766990291,False,2.308129947772858,False,False,False,False,0
KARDEGIC + PERPRAZOLE,206,181,25,7.001121494433637,4.608265433936159,10.636475455354535,111.48807872348677,4.6257848856165854e-26,999,1.0463146475839521e-23,True,87.86407766990291,False,2.308129947772858,False,False,False,False,0
CELECOXIB + INFLIXIMAB,206,181,25,7.001121494433637,4.608265433936159,10.636475455354535,111.48807872348677,4.6257848856165854e-26,1000,1.0463146475839521e-23,True,87.86407766990291,False,2.308129947772858,False,False,False,False,0
ARAVA + DICLOFENAC SODIUM,313,275,38,6.9994154451323665,4.985770600647375,9.826327863379076,170.1413989688495,6.891021674576818e-39,271,5.7516618491670865e-36,True,87.8594249201278,False,1.9708744445849917,False,False,False,False,0
CELECOXIB + HUMIRA,173,152,21,6.998863679686268,4.434568288151453,11.045966512165403,93.37471008333875,4.327450149926603e-22,1573,6.228942199911517e-20,True,87.86127167630057,False,2.490877531794624,False,False,False,False,0
ACETAMINOPHEN + OTEZLA,107,94,13,6.990949026075062,3.9142396629480394,12.486043904723632,57.154258301368806,4.0293446616645895e-14,3953,2.307908321793e-12,True,87.85046728971963,False,3.189902760149253,False,False,False,False,0
PHENYLEPHRINE HYDROCHLORIDE + PREDNISONE,115,101,14,6.975111643946444,3.98832841836646,12.198639966927354,61.4554016798054,4.528861454125481e-15,3527,2.904860489292304e-13,True,87.82608695652175,False,3.058584621755817,False,False,False,False,0
CARBOPLATIN + ROSUVASTATIN,115,101,14,6.975111643946444,3.98832841836646,12.198639966927354,61.4554016798054,4.528861454125481e-15,3528,2.904860489292304e-13,True,87.82608695652175,False,3.058584621755817,False,False,False,False,0
CARBOPLATIN + SULFAMETHOXAZOLE / TRIMETHOPRIM,115,101,14,6.975111643946444,3.98832841836646,12.198639966927354,61.4554016798054,4.528861454125481e-15,3530,2.904860489292304e-13,True,87.82608695652175,False,3.058584621755817,False,False,False,False,0
CYCLOPHOSPHAMIDE + VALACICLOVIR,115,101,14,6.975111643946444,3.98832841836646,12.198639966927354,61.4554016798054,4.528861454125481e-15,3529,2.904860489292304e-13,True,87.82608695652175,False,3.058584621755817,False,False,False,False,0
FOSAMAX + PSEUDOEPHEDRINE HYDROCHLORIDE,156,137,19,6.9719904912238775,4.314830557097675,11.265483259767272,83.86643379369228,5.293572235943807e-20,1979,6.0563923118641985e-18,True,87.82051282051282,False,2.6108750067221362,False,False,False,False,0
CORTISONE ACETATE + DESOXIMETASONE,320,281,39,6.968824748218302,4.985308211207265,9.741527767973103,173.53819699082135,1.2486316097220016e-39,253,1.1174413905535029e-36,True,87.8125,False,1.9540472434730471,False,False,False,False,0
