PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,B_NONSERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,CHI2,P_VALUE,P_VALUE_RANK,P_VALUE_FDR,SIGNAL,PCT_SERIOUS,FLAG_HIGH_SERIOUS_RATE,CI_RATIO,FLAG_WIDE_CI,FLAG_SMALL_N_HIGH_ROR,FLAG_POSSIBLE_VETERINARY,FLAG_SAME_DRUG,QUALITY_FLAGS
NEBIVOLOL + PANTOPRAZOLE,153,127,26,4.722829863345086,3.0971502523774954,7.201821061468318,62.04102141970753,3.363765810751112e-15,3469,2.195494745859456e-13,True,83.00653594771242,False,2.3253056760613777,False,False,False,False,0
FOLIC ACID + KORTISON,200,166,34,4.720989006709679,3.264264485382718,6.827797594612044,81.46243831439503,1.786244477321113e-19,2102,1.924062331427649e-17,True,83.0,False,2.0916802621805695,False,False,False,False,0
SODIUM CHLORIDE + TREPROSTINIL,100,83,17,4.720251039838258,2.8012280769249736,7.953929229337405,40.090469803599376,2.424690238132628e-10,6858,8.005154773075436e-09,True,83.0,False,2.839443633618284,False,False,False,False,0
BISOPROLOL + OXAZEPAM,100,83,17,4.720251039838258,2.8012280769249736,7.953929229337405,40.090469803599376,2.424690238132628e-10,6856,8.005154773075436e-09,True,83.0,False,2.839443633618284,False,False,False,False,0
ELTROMBOPAG OLAMINE + PREDNISOLONE,100,83,17,4.720251039838258,2.8012280769249736,7.953929229337405,40.090469803599376,2.424690238132628e-10,6857,8.005154773075436e-09,True,83.0,False,2.839443633618284,False,False,False,False,0
PREDNISONE + REMODULIN,147,122,25,4.71832263152235,3.068344388328951,7.2555637951906675,59.50773654088331,1.2181429706225318e-14,3728,7.398323367017499e-13,True,82.99319727891157,False,2.364651055073422,False,False,False,False,0
CORTISONE ACETATE + METHOTREXATE,288,239,49,4.716993888302737,3.4686854182730684,6.414542876985036,117.77858803011924,1.9386492923449503e-27,844,5.20077127339051e-25,True,82.98611111111111,False,1.8492720161918292,False,False,False,False,0
ERELZI + HYDROXYCHLOROQUINE SULFATE,229,190,39,4.710991885206806,3.33779862374954,6.6491262787906615,93.28416277052727,4.530024562522665e-22,1576,6.508116125617111e-20,True,82.96943231441048,False,1.9920693332066026,False,False,False,False,0
LEVOFLOXACIN + PANTOPRAZOLE,270,224,46,4.709137030885078,3.4287674053380996,6.467622021000409,110.1752597244628,8.969911923476347e-26,1049,1.936081523250398e-23,True,82.96296296296296,False,1.8862819364565961,False,False,False,False,0
CARBOPLATIN + PANTOPRAZOLE,305,253,52,4.705350546177493,3.4911733980291935,6.341800087876268,124.53354326469578,6.438157211766341e-29,727,2.0051096005140459e-26,True,82.95081967213115,False,1.816523949070042,False,False,False,False,0
PSEUDOEPHEDRINE HYDROCHLORIDE + REMICADE,217,180,37,4.704201437382288,3.302358711611674,6.701122771932175,88.21628931644614,5.8674724693822655e-21,1780,7.463490907711201e-19,True,82.94930875576037,False,2.029192876100906,False,False,False,False,0
CLONIDINE + OXYGEN,129,107,22,4.702367442345458,2.971955292466104,7.440306931562887,51.90869935753505,5.814224334010959e-13,4635,2.840226634861042e-11,True,82.94573643410853,False,2.5035056719810145,False,False,False,False,0
CIMZIA + HYDROXYCHLOROQUINE,287,238,49,4.697246284117533,3.453784474481026,6.388390131660251,116.93011173252678,2.973636262969324e-27,874,7.703487132597121e-25,True,82.92682926829268,False,1.849678281566827,False,False,False,False,0
CANDESARTAN + OXYCODONE,205,170,35,4.696645417643848,3.2641942268101625,6.757710064523627,83.14876479543447,7.610490376068415e-20,2011,8.568632570704419e-18,True,82.92682926829268,False,2.0702536659797355,False,False,False,False,0
OPSUMIT + SODIUM CHLORIDE,234,194,40,4.689949640648863,3.336887950763189,6.591659041710322,94.9705629907948,1.9323751636712725e-22,1504,2.909072605107195e-20,True,82.90598290598291,False,1.9753911845324998,False,False,False,False,0
OLANZAPINE + ZOPICLONE,310,257,53,4.689592850999189,3.4890414879470124,6.3032443678631,126.2198194466159,2.7524255891091405e-29,702,8.877474316736659e-27,True,82.9032258064516,False,1.806583381033968,False,False,False,False,0
ASCORBIC ACID + DICLOFENAC SODIUM,228,189,39,4.686185990740506,3.319708094078204,6.615141608078764,92.436733727754,6.951180238502839e-22,1616,9.739308955701337e-20,True,82.89473684210526,False,1.9926877365751083,False,False,False,False,0
METHYLPREDNISOLONE + PROPOFOL,152,126,26,4.685631029304633,3.0718821402850054,7.147129069458838,61.1949633045463,5.169360508934627e-15,3557,3.290515231127243e-13,True,82.89473684210526,False,2.3266286735843766,False,False,False,False,0
OMEPRAZOLE + PIPERACILLIN SODIUM\TAZOBACTAM SODIUM,111,92,19,4.681417183504047,2.8567170562674544,7.671626700980202,44.31122647006218,2.8010526851379583e-11,5903,1.0742018070182354e-09,True,82.88288288288288,False,2.6854695616946533,False,False,False,False,0
GOLD + METHOTREXATE,111,92,19,4.681417183504047,2.8567170562674544,7.671626700980202,44.31122647006218,2.8010526851379583e-11,5904,1.0742018070182354e-09,True,82.88288288288288,False,2.6854695616946533,False,False,False,False,0
ACETAMINOPHEN + ACUPAN,111,92,19,4.681417183504047,2.8567170562674544,7.671626700980202,44.31122647006218,2.8010526851379583e-11,5902,1.0742018070182354e-09,True,82.88288288288288,False,2.6854695616946533,False,False,False,False,0
MEROPENEM + METRONIDAZOLE,257,213,44,4.681325038884304,3.3837475341728185,6.476489128803271,104.25917662797976,1.7750896664441492e-24,1218,3.2997721847040344e-22,True,82.87937743190662,False,1.913998920840439,False,False,False,False,0
DICLOFENAC SODIUM + REMICADE,216,179,37,4.67805580431773,3.2834512803648157,6.665001012556309,87.36935482164088,9.003475063283747e-21,1828,1.1151798779423299e-18,True,82.87037037037037,False,2.0298766278072438,False,False,False,False,0
LEFLUNOMIDE + TRAMADOL HYDROCHLORIDE,140,116,24,4.673146605937648,3.01103682190976,7.252750627850358,56.12938538869595,6.785533904791025e-14,4090,3.756398571283555e-12,True,82.85714285714286,False,2.4087219973783904,False,False,False,False,0
BMS-830216 + VONOPRAZAN FUMARATE,105,87,18,4.672892074870569,2.812961398551488,7.762609310825384,41.77919261584299,1.0218510144428639e-10,6420,3.603823411029974e-09,True,82.85714285714286,False,2.7595861481862776,False,False,False,False,0
BISOPROLOL + KARDEGIC,268,222,46,4.667068853440334,3.397310257617631,6.411404914789032,108.48026911245528,2.109397507395197e-25,1081,4.418182838384882e-23,True,82.83582089552239,False,1.8872002933535543,False,False,False,False,0
CYCLOPHOSPHAMIDE + MEROPENEM,268,222,46,4.667068853440334,3.397310257617631,6.411404914789032,108.48026911245528,2.109397507395197e-25,1080,4.418182838384882e-23,True,82.83582089552239,False,1.8872002933535543,False,False,False,False,0
AMOXICILLIN + VALACYCLOVIR HYDROCHLORIDE,134,111,23,4.66609617007801,2.9780360015853256,7.311010832920201,53.59685811931336,2.4615275265671433e-13,4400,1.2666684988869984e-11,True,82.83582089552239,False,2.4549773169391713,False,False,False,False,0
OXYCODONE + VITAMIN D2,163,135,28,4.661801968070071,3.103002393631908,7.0036676845954045,65.41581795477902,6.065012982239915e-16,3202,4.288657431020603e-14,True,82.82208588957054,False,2.2570616442219253,False,False,False,False,0
QUETIAPINE FUMARATE + RAMIPRIL,192,159,33,4.658872342108167,3.202134750080713,6.7783192133039805,77.23586311370815,1.517135472144434e-18,2354,1.459247150943069e-16,True,82.8125,False,2.116812608567808,False,False,False,False,0
OMEPRAZOLE + TEDUGLUTIDE,128,106,22,4.658408951335034,2.9430869631086316,7.373473577198331,51.064531091023966,8.937879172923839e-13,4759,4.250570734247154e-11,True,82.8125,False,2.505353620067723,False,False,False,False,0
ASPIRIN + OXALIPLATIN,128,106,22,4.658408951335034,2.9430869631086316,7.373473577198331,51.064531091023966,8.937879172923839e-13,4760,4.250570734247154e-11,True,82.8125,False,2.505353620067723,False,False,False,False,0
FUROSEMIDE + RISPERIDONE,128,106,22,4.658408951335034,2.9430869631086316,7.373473577198331,51.064531091023966,8.937879172923839e-13,4761,4.250570734247154e-11,True,82.8125,False,2.505353620067723,False,False,False,False,0
CARBOPLATIN + LANSOPRAZOLE,186,154,32,4.653334285297766,3.1796680490632445,6.809993885087147,74.70279265155422,5.4718666363442324e-18,2504,4.947799920398515e-16,True,82.79569892473118,False,2.1417310801023475,False,False,False,False,0
COSENTYX + RINVOQ,122,101,21,4.649993980568958,2.905985827712634,7.440657078615917,48.53242839546415,3.248721774859012e-12,5134,1.4327407222828744e-10,True,82.78688524590164,False,2.560458832131547,False,False,False,False,0
ACETAMINOPHEN + ENBREL,325,269,56,4.6457022955195395,3.483436965734623,6.195762986640974,131.28159433377073,2.1485960791852676e-30,627,7.758864865342423e-28,True,82.76923076923077,False,1.778635022705039,False,False,False,False,0
HYDROXYCHLOROQUINE + PANTOPRAZOLE SODIUM,168,139,29,4.634447472235664,3.1060775769666074,6.914863792258218,67.10445121839827,2.574963608150297e-16,3070,1.8984634002936308e-14,True,82.73809523809523,False,2.226236666957709,False,False,False,False,0
FAMOTIDINE + OLANZAPINE,168,139,29,4.634447472235664,3.1060775769666074,6.914863792258218,67.10445121839827,2.574963608150297e-16,3071,1.8984634002936308e-14,True,82.73809523809523,False,2.226236666957709,False,False,False,False,0
FLUDARABINE + LEVOFLOXACIN,110,91,19,4.630521149419274,2.824347423195945,7.591745243209635,43.46901865174527,4.3072499495154116e-11,6102,1.5979664412082262e-09,True,82.72727272727273,False,2.687964370409873,False,False,False,False,0
MICAFUNGIN + VORICONAZOLE,110,91,19,4.630521149419274,2.824347423195945,7.591745243209635,43.46901865174527,4.3072499495154116e-11,6103,1.5979664412082262e-09,True,82.72727272727273,False,2.687964370409873,False,False,False,False,0
CETIRIZINE HYDROCHLORIDE + PSEUDOEPHEDRINE HYDROCHLORIDE,214,177,37,4.625764913117032,3.2456377751583543,6.592756959879983,85.67885855101942,2.116638295073845e-20,1895,2.5289974115779942e-18,True,82.71028037383178,False,2.031267016405835,False,False,False,False,0
PREDNISOLONE + RINVOQ,133,110,23,4.624048217911514,2.9501665196645863,7.247666116149135,52.75399311035475,3.780539428567609e-13,4510,1.897964914273661e-11,True,82.70676691729322,False,2.456697297538698,False,False,False,False,0
ASPIRIN + ESCITALOPRAM OXALATE,185,153,32,4.623106780280761,3.158337302688606,6.767205099874417,73.85868429336779,8.391441566100233e-18,2572,7.387143921124739e-16,True,82.70270270270271,False,2.14264799839893,False,False,False,False,0
PREGABALIN + RITUXIMAB,237,196,41,4.622742024891992,3.301454957922508,6.472826102752515,94.96690041252468,1.9359537265905946e-22,1505,2.9125233944663735e-20,True,82.70042194092827,False,1.9605980348814578,False,False,False,False,0
DELFLEX WITH DEXTROSE 25% LOW MAGNESIUM LOW CALCIUM + DELFLEX WITH DEXTROSE 425% LOW MAGNESIUM LOW CALCIUM,260,215,45,4.620285561918846,3.350543649466515,6.371216407544696,104.25548708829088,1.77839821147477e-24,1219,3.3032105516463864e-22,True,82.6923076923077,False,1.9015470544785003,False,False,False,False,0
GABAPENTIN + TYVASO,104,86,18,4.619169634268762,2.7792164329467486,7.677245952208084,40.937790618448666,1.5715272747828718e-10,6616,5.3782052977900285e-09,True,82.6923076923077,False,2.7623778634858067,False,False,False,False,0
LANSOPRAZOLE + MYCOPHENOLATE MOFETIL,127,105,22,4.614450670410067,2.914220067839463,7.306639338817736,50.22229703781955,1.3727908737872441e-12,4881,6.367776566520384e-11,True,82.67716535433071,False,2.507236642644738,False,False,False,False,0
CALCIUM CARBONATE + ONDANSETRON,173,143,30,4.608918437512945,3.1092255450465456,6.831967914803934,68.79381501960195,1.0931499239277903e-16,2920,8.476329434105564e-15,True,82.65895953757226,False,2.197321428060523,False,False,False,False,0
ONDANSETRON + POLYETHYLENE GLYCOL,392,324,68,4.6085833132573075,3.548215189329321,5.985837673855479,157.46392412450794,4.053006236866668e-36,342,2.6820825093259766e-33,True,82.6530612244898,False,1.6869996193739631,False,False,False,False,0
ADALIMUMAB + HYDROXYCHLOROQUINE SULFATE,196,162,34,4.607186191917168,3.183113986175659,6.668364594914903,78.08060413216364,9.892051098680072e-19,2303,9.725307970737927e-17,True,82.6530612244898,False,2.0949185683817078,False,False,False,False,0
HYDROCORTISONE + MYCOPHENOLATE MOFETIL,242,200,42,4.604804824696934,3.30155705906297,6.422493112861794,96.6560037290163,8.24818895528344e-23,1454,1.284414337604791e-20,True,82.64462809917356,False,1.9452921751667656,False,False,False,False,0
ADALIMUMAB + RAMIPRIL,144,119,25,4.602265310609174,2.99011549810462,7.083621352640962,56.97586334566513,4.4119368702775196e-14,3993,2.501732838203094e-12,True,82.63888888888889,False,2.3690126207937925,False,False,False,False,0
ACETAMINOPHEN + FILGRASTIM,305,252,53,4.598300675792241,3.4194067268440085,6.183636751661562,121.98987008213612,2.320195325431059e-28,767,6.849204500566489e-26,True,82.62295081967214,False,1.808394626797977,False,False,False,False,0
ASCORBIC ACID + HYDROCORTISONE,207,171,36,4.593042570073802,3.206260222121528,6.579640637075696,82.30280345550601,1.1675640016544042e-19,2054,1.2870375176562164e-17,True,82.6086956521739,False,2.052123090845714,False,False,False,False,0
RISPERIDONE + ZOPICLONE,161,133,28,4.592716284227179,3.0554119077386943,6.903502213230698,63.72971475737403,1.427155792856273e-15,3339,9.677560955583457e-14,True,82.6086956521739,False,2.259434217607658,False,False,False,False,0
CHOLECALCIFEROL + ENBREL,115,95,20,4.592390057635511,2.835391836031232,7.438141767026369,45.15980670788614,1.815940747920116e-11,5734,7.169340405624704e-10,True,82.6086956521739,False,2.6233205839506546,False,False,False,False,0
OXYCODONE + POLYETHYLENE GLYCOL,115,95,20,4.592390057635511,2.835391836031232,7.438141767026369,45.15980670788614,1.815940747920116e-11,5735,7.169340405624704e-10,True,82.6086956521739,False,2.6233205839506546,False,False,False,False,0
ADALIMUMAB + HYDROCORTISONE,224,185,39,4.586963598619852,3.2473500371239257,6.47920144564959,89.05771661850456,3.834600692465827e-21,1747,4.969791754932614e-19,True,82.58928571428571,False,1.9952272996686282,False,False,False,False,0
CLONAZEPAM + ZOLPIDEM,201,166,35,4.58609227138627,3.18497740049673,6.603576627698732,79.77044551711693,4.205363279282347e-19,2215,4.2983722901543315e-17,True,82.58706467661692,False,2.0733511724977505,False,False,False,False,0
PREGABALIN + QUETIAPINE FUMARATE,178,147,31,4.58503820642571,3.1124301540885484,6.754392649347596,70.4838495381476,4.640500300140062e-17,2799,3.752474274846831e-15,True,82.58426966292134,False,2.1701346905648293,False,False,False,False,0
ACETAMINOPHEN + DILTIAZEM,178,147,31,4.58503820642571,3.1124301540885484,6.754392649347596,70.4838495381476,4.640500300140062e-17,2800,3.752474274846831e-15,True,82.58426966292134,False,2.1701346905648293,False,False,False,False,0
FILGRASTIM + MEROPENEM,126,104,22,4.570492599569049,2.8853546406112938,7.239804185141622,49.382043194675056,2.1066516493941906e-12,4976,9.583762369952455e-11,True,82.53968253968253,False,2.5091557492592282,False,False,False,False,0
ELIQUIS + MIDODRINE HYDROCHLORIDE,126,104,22,4.570492599569049,2.8853546406112938,7.239804185141622,49.382043194675056,2.1066516493941906e-12,4977,9.583762369952455e-11,True,82.53968253968253,False,2.5091557492592282,False,False,False,False,0
ALLOPURINOL + SULFAMETHOXAZOLE / TRIMETHOPRIM,309,255,54,4.5668963619538765,3.4048256211974772,6.12558312853987,122.8364709292256,1.514290922226509e-28,753,4.553289801177712e-26,True,82.52427184466019,False,1.7990886494755354,False,False,False,False,0
HUMIRA + OXYCODONE,206,170,36,4.566171759008093,3.186916792926627,6.5423498282225445,81.46085211278091,1.7876787125142973e-19,2103,1.924691577413515e-17,True,82.52427184466019,False,2.0528775155797327,False,False,False,False,0
MORPHINE + RAMIPRIL,103,85,18,4.565447450403795,2.74547378459243,7.591881058697757,40.098825967635776,2.414340437414086e-10,6854,7.974473131413895e-09,True,82.52427184466019,False,2.765235312499909,False,False,False,False,0
DIPHENHYDRAMINE + OXYGEN,103,85,18,4.565447450403795,2.74547378459243,7.591881058697757,40.098825967635776,2.414340437414086e-10,6855,7.974473131413895e-09,True,82.52427184466019,False,2.765235312499909,False,False,False,False,0
CETIRIZINE HYDROCHLORIDE + FOSAMAX,200,165,35,4.558454315089961,3.165174502468453,6.565042694030547,78.92893093997846,6.438493957166033e-19,2266,6.433322704296641e-17,True,82.5,False,2.07414873616308,False,False,False,False,0
CETIRIZINE HYDROCHLORIDE + PREGABALIN,160,132,28,4.558173689951301,3.031617951471241,6.853418775172914,62.88898868410433,2.1869143517752532e-15,3390,1.4602087104106438e-13,True,82.5,False,2.260647246743923,False,False,False,False,0
CLONAZEPAM + HALOPERIDOL,160,132,28,4.558173689951301,3.031617951471241,6.853418775172914,62.88898868410433,2.1869143517752532e-15,3391,1.4602087104106438e-13,True,82.5,False,2.260647246743923,False,False,False,False,0
IBUPROFEN + VANCOMYCIN,120,99,21,4.5578931090702035,2.8461029436032055,7.299240401827833,46.85143911481149,7.657684558790206e-12,5417,3.2007340270115577e-10,True,82.5,False,2.564643846854989,False,False,False,False,0
ATORVASTATIN + PEMBROLIZUMAB,120,99,21,4.5578931090702035,2.8461029436032055,7.299240401827833,46.85143911481149,7.657684558790206e-12,5416,3.2007340270115577e-10,True,82.5,False,2.564643846854989,False,False,False,False,0
CETIRIZINE HYDROCHLORIDE + DICLOFENAC SODIUM,297,245,52,4.556477622467889,3.3779129238609333,6.1462473403015885,117.77066585631736,1.9464080744806935e-27,845,5.2154061941747885e-25,True,82.49158249158249,False,1.8195398989967053,False,False,False,False,0
ADALIMUMAB + VITAMIN D3,137,113,24,4.552256731202735,2.930215392849347,7.0721904599065954,53.60447418144256,2.452003536030379e-13,4398,1.2620544137779639e-11,True,82.48175182481752,False,2.4135394541865347,False,False,False,False,0
OXYCODONE HYDROCHLORIDE + PANTOPRAZOLE,137,113,24,4.552256731202735,2.930215392849347,7.0721904599065954,53.60447418144256,2.452003536030379e-13,4399,1.2620544137779639e-11,True,82.48175182481752,False,2.4135394541865347,False,False,False,False,0
ALBUTEROL / IPRATROPIUM + OXYGEN,171,141,30,4.544436319142733,3.0642425596883007,6.739643176565073,67.11163959865982,2.5655917188801396e-16,3067,1.8940206905947292e-14,True,82.45614035087719,False,2.199448328676252,False,False,False,False,0
LORAZEPAM + OXYCODONE HYDROCHLORIDE,114,94,20,4.544038251535868,2.804288344366592,7.363110028574828,44.32124802883576,2.7867500608059503e-11,5901,1.069260083490191e-09,True,82.45614035087719,False,2.625660818141703,False,False,False,False,0
ALPRAZOLAM + RISPERIDONE,131,108,23,4.539952916446797,2.894431547026302,7.120974239217856,51.07394877810543,8.895100186253213e-13,4751,4.2382382028010945e-11,True,82.44274809160305,False,2.4602323888204727,False,False,False,False,0
IRBESARTAN + METFORMIN HYDROCHLORIDE,131,108,23,4.539952916446797,2.894431547026302,7.120974239217856,51.07394877810543,8.895100186253213e-13,4752,4.2382382028010945e-11,True,82.44274809160305,False,2.4602323888204727,False,False,False,False,0
CITALOPRAM + OLANZAPINE,165,136,29,4.534390917438609,3.036706210525983,6.770724451671096,64.5805988445829,9.26632866039382e-16,3260,6.435777922174994e-14,True,82.42424242424242,False,2.229627755296865,False,False,False,False,0
LT4 + SODIUM BICARBONATE,108,89,19,4.528729810945459,2.759614316653344,7.431978293770543,41.79153261060754,1.0154221025627623e-10,6413,3.5850591239366223e-09,True,82.4074074074074,False,2.6931220964179863,False,False,False,False,0
LISINOPRIL + XELJANZ,125,103,22,4.526534738810477,2.8564907165761246,7.172968083795275,48.543817030240206,3.22991036146341e-12,5130,1.4255552518943906e-10,True,82.39999999999999,False,2.5111119886267335,False,False,False,False,0
ENOXAPARIN + ONDANSETRON,142,117,25,4.52489468779124,2.937968401258749,6.968989838974842,55.29661522785018,1.0364691460076995e-13,4197,5.591500383625716e-12,True,82.3943661971831,False,2.372043836819019,False,False,False,False,0
LINEZOLID + VANCOMYCIN,244,201,43,4.5202045535117845,3.251799127963135,6.283367576393639,95.82144629533268,1.25726336096731e-22,1479,1.9247265426876024e-20,True,82.37704918032787,False,1.9322742054886461,False,False,False,False,0
ACTEMRA + DICLOFENAC SODIUM,278,229,49,4.5195220946887495,3.3196874773224225,6.153012927847939,109.33232970699414,1.3723559015386545e-25,1059,2.9341461616107564e-23,True,82.37410071942446,False,1.8534916222929536,False,False,False,False,0
ACETAMINOPHEN + ALENDRONIC ACID,363,299,64,4.518568770201393,3.4494348666125343,5.919075013899302,143.11474312863447,5.5480829138521123e-33,476,2.6390458764465706e-30,True,82.36914600550963,False,1.715955002134028,False,False,False,False,0
PANTOPRAZOLE SODIUM + REMODULIN,136,112,24,4.5119604914670335,2.903277373306304,7.012002250882294,52.76652470804285,3.756494741192858e-13,4507,1.8871489378997214e-11,True,82.35294117647058,False,2.4152023211261073,False,False,False,False,0
ALENDRONATE SODIUM + VITAMIN D2,136,112,24,4.5119604914670335,2.903277373306304,7.012002250882294,52.76652470804285,3.756494741192858e-13,4506,1.8871489378997214e-11,True,82.35294117647058,False,2.4152023211261073,False,False,False,False,0
LEVETIRACETAM + SODIUM CHLORIDE,102,84,18,4.511725523273827,2.7117335232793582,7.506514568121698,39.26237028096722,3.7051351898451975e-10,7042,1.1909558481180722e-08,True,82.35294117647058,False,2.768160847546667,False,False,False,False,0
DICLOFENAC SODIUM + LYRICA,102,84,18,4.511725523273827,2.7117335232793582,7.506514568121698,39.26237028096722,3.7051351898451975e-10,7043,1.1909558481180722e-08,True,82.35294117647058,False,2.768160847546667,False,False,False,False,0
ATORVASTATIN + HEPARIN,102,84,18,4.511725523273827,2.7117335232793582,7.506514568121698,39.26237028096722,3.7051351898451975e-10,7044,1.1909558481180722e-08,True,82.35294117647058,False,2.768160847546667,False,False,False,False,0
CEFTRIAXONE + METHYLPREDNISOLONE,249,205,44,4.505414473332548,3.2530732640756947,6.239871631751261,97.51346270246522,5.349134226927321e-23,1427,8.487317963506868e-21,True,82.32931726907631,False,1.9181466647736918,False,False,False,False,0
PREDNISONE + TYVASO,181,149,32,4.502198204990942,3.0730207429206966,6.596046812804333,70.49584556163927,4.612367766488173e-17,2798,3.7323912971862724e-15,True,82.32044198895028,False,2.1464374518133713,False,False,False,False,0
DEXAMETHASONE + SUFENTANIL,164,135,29,4.501039051321175,3.013584048088146,6.722677124061299,63.742383158800386,1.4180076511688145e-15,3336,9.62129027157149e-14,True,82.3170731707317,False,2.230791315850721,False,False,False,False,0
FUROSEMIDE + HYDROMORPHONE,164,135,29,4.501039051321175,3.013584048088146,6.722677124061299,63.742383158800386,1.4180076511688145e-15,3337,9.62129027157149e-14,True,82.3170731707317,False,2.230791315850721,False,False,False,False,0
ELIQUIS + TYVASO,147,121,26,4.499639525902113,2.94555651970175,6.873660623259967,56.98936527331244,4.381750003928156e-14,3990,2.486483890700264e-12,True,82.31292517006803,False,2.3335694213587708,False,False,False,False,0
LOXAPINE + RISPERIDONE,130,107,23,4.497905567145695,2.8665661171988295,7.057627022651707,50.236856818453816,1.3626430692918765e-12,4880,6.322272919322296e-11,True,82.3076923076923,False,2.4620492722311,False,False,False,False,0
ALENDRONATE SODIUM + METHYLPREDNISOLONE SODIUM SUCCINATE,113,93,20,4.495686676511491,2.7731867488468405,7.2880770477384,43.48496178076544,4.272299994186763e-11,6099,1.5857797050553747e-09,True,82.30088495575221,False,2.6280513026282715,False,False,False,False,0
ATORVASTATIN + PEMETREXED,113,93,20,4.495686676511491,2.7731867488468405,7.2880770477384,43.48496178076544,4.272299994186763e-11,6100,1.5857797050553747e-09,True,82.30088495575221,False,2.6280513026282715,False,False,False,False,0
DELFLEX WITH DEXTROSE 15% LOW MAGNESIUM LOW CALCIUM + DELFLEX WITH DEXTROSE 425% LOW MAGNESIUM LOW CALCIUM,237,195,42,4.489631050033735,3.21660062163397,6.266487306461989,92.45101085698984,6.901213497603009e-22,1614,9.681282265800983e-20,True,82.27848101265823,False,1.948170768952577,False,False,False,False,0
ENOXAPARIN SODIUM + OMEPRAZOLE,158,130,28,4.489088996684759,2.9840326901980716,6.753250420597287,61.212334550485565,5.1239506359419826e-15,3556,3.262527151543059e-13,True,82.27848101265823,False,2.263128833266577,False,False,False,False,0
CASPOFUNGIN + VANCOMYCIN,124,102,22,4.482577088132842,2.827628332138802,7.106131001260303,47.70766754441166,4.947528242552638e-12,5256,2.1312965175462007e-10,True,82.25806451612904,False,2.5131064505515357,False,False,False,False,0
CERTOLIZUMAB PEGOL + TOCILIZUMAB,107,88,19,4.47783450655293,2.727250960454504,7.352092696571851,40.95638378118895,1.556647153795692e-10,6612,5.328892278018036e-09,True,82.2429906542056,False,2.6957888376163974,False,False,False,False,0
PANTOPRAZOLE SODIUM + STELARA,107,88,19,4.47783450655293,2.727250960454504,7.352092696571851,40.95638378118895,1.556647153795692e-10,6614,5.328892278018036e-09,True,82.2429906542056,False,2.6957888376163974,False,False,False,False,0
ALLOPURINOL + FLUDARABINE,107,88,19,4.47783450655293,2.727250960454504,7.352092696571851,40.95638378118895,1.556647153795692e-10,6613,5.328892278018036e-09,True,82.2429906542056,False,2.6957888376163974,False,False,False,False,0
OXYGEN + SIMVASTATIN,107,88,19,4.47783450655293,2.727250960454504,7.352092696571851,40.95638378118895,1.556647153795692e-10,6611,5.328892278018036e-09,True,82.2429906542056,False,2.6957888376163974,False,False,False,False,0
CELEBREX + ERELZI,152,125,27,4.476257147646664,2.952980314419153,6.785307018140103,58.68266625883267,1.8526651299570564e-14,3808,1.1015670519816618e-12,True,82.23684210526315,False,2.2977826790812057,False,False,False,False,0
ALENDRONATE SODIUM + FOLIC ACID,422,347,75,4.475235813567967,3.4866364965875167,5.744142128565204,165.09240329994563,8.732220976715165e-38,295,6.702142403748793e-35,True,82.22748815165876,False,1.6474737570685045,False,False,False,False,0
BUMETANIDE + OXYGEN,360,296,64,4.4731998775971755,3.4139776227388294,5.86105691251806,140.59531256005943,1.972579659397095e-32,509,8.774607884506318e-30,True,82.22222222222221,False,1.7167824632125401,False,False,False,False,0
OPSUMIT + REMODULIN,534,439,95,4.470567937919739,3.581164764119954,5.5808595817197375,209.03175736365657,2.2341440718031126e-47,140,3.613217374639409e-44,True,82.20973782771536,False,1.5583922967284065,False,False,False,False,0
METOLAZONE + SPIRONOLACTONE,163,134,29,4.467687344609295,2.9904627226230645,6.674629333507982,62.90574868228786,2.168384197549254e-15,3389,1.4486905082346034e-13,True,82.20858895705521,False,2.231972090143085,False,False,False,False,0
ALIMTA + KEYTRUDA,163,134,29,4.467687344609295,2.9904627226230645,6.674629333507982,62.90574868228786,2.168384197549254e-15,3388,1.4486905082346034e-13,True,82.20858895705521,False,2.231972090143085,False,False,False,False,0
DICLOFENAC SODIUM + SIMPONI,219,180,39,4.4629382763305,3.156911967498911,6.309272562362868,84.85911492478907,3.2040035186106904e-20,1934,3.7510034574808434e-18,True,82.1917808219178,False,1.9985582833218631,False,False,False,False,0
PANTOPRAZOLE SODIUM + REMICADE,146,120,26,4.462441758572636,2.920294522433721,6.818965106319955,56.15342061580927,6.70308809100115e-14,4088,3.7125728947854646e-12,True,82.1917808219178,False,2.335026502955994,False,False,False,False,0
DAPAGLIFLOZIN + IRBESARTAN,146,120,26,4.462441758572636,2.920294522433721,6.818965106319955,56.15342061580927,6.70308809100115e-14,4087,3.7125728947854646e-12,True,82.1917808219178,False,2.335026502955994,False,False,False,False,0
TADALAFIL + TORSEMIDE,174,143,31,4.460232625262069,3.0248574491747715,6.576731434692725,67.12894816702213,2.543165345066097e-16,3065,1.8786897588880117e-14,True,82.18390804597702,False,2.1742285529808885,False,False,False,False,0
NAPROXEN + SULFAMETHOXAZOLE / TRIMETHOPRIM,101,83,18,4.45800385287702,2.6779957218508983,7.421146415622566,38.42849801234549,5.679691995510639e-10,7263,1.7703531143165304e-08,True,82.17821782178217,False,2.7711569346695732,False,False,False,False,0
