PAIR,ROR_H1,N_EXPOSED_H1,SIGNAL_H1,ROR_H2,N_EXPOSED_H2,SIGNAL_H2
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + DEXAMETHASONE",0.6444281460705922,10,False,0.724981544790614,14,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + DOCETAXEL",0.5658174370463682,65,False,0.2948790291182172,77,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + DOXORUBICIN",0.724975631432585,35,False,1.1277637481613505,52,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + DOXORUBICIN HYDROCHLORIDE",0.6904586710096742,12,False,0.4027625809678072,17,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + EPIRUBICIN",1.6111007584517518,24,False,0.22743904469856355,21,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + EVEROLIMUS",0.5523656171962481,11,False,0.2761780305732162,18,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + EXEMESTANE",0.2636205309236335,28,False,0.2726250001225155,50,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + FEMARA",0.4027625809678072,17,False,0.6444281460705922,10,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + FLUOROURACIL",0.6444264471312999,15,False,0.26850440561493594,23,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + FULVESTRANT",0.2974165156214423,34,False,0.3322674675566683,43,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + GEMCITABINA",1.2428374844627013,16,False,0.16110387774685347,14,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + GOSERELIN",0.32220443722426617,28,False,0.1239186783118438,44,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + KISQALI",0.32220605649404377,24,False,0.44303204993438067,35,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + LETROZOLE",0.4988955895330819,47,False,0.40935277126253644,121,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + OMEPRAZOLE",2.8999827989048637,12,False,0.8055371070264209,11,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + PACLITAXEL",0.5101527376940214,55,False,0.9236773725635111,88,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + PALBOCICLIB",0.5638703075477408,19,False,0.8377559682796033,28,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + PERTUZUMAB",0.7733135202673809,18,False,0.3093139407375908,33,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + PREDNISONE",0.2974232295442187,17,False,0.5272553959904795,17,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + RIBOCICLIB",0.604149843997114,13,False,0.07159906899744686,29,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + TRASTUZUMAB",0.46663948619517365,43,False,0.34796499501874245,68,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + VINORELBINE",0.5272553959904795,17,False,0.4833174861795299,15,False
"1-PARA-BETA-DIMETHYLAMINOETHOXYPHENYL-TRANS-1,2-DIPHENYLBUT-1-ENE + ZOLEDRONIC ACID",0.8055324611616003,33,False,0.2819267921703537,31,False
