Id,signal_count,drug_class,r,g,b,Label
MORPHINE,41,Analgesic/Opioid,38,70,83,MORPHINE
REMODULIN,41,Antithrombotic,69,123,157,REMODULIN
AZITHROMYCIN,41,Antibacterial,106,153,78,AZITHROMYCIN
FLUCONAZOLE,41,Anti-infective (Other),56,102,65,FLUCONAZOLE
METFORMIN HYDROCHLORIDE,40,Antidiabetic,96,108,56,METFORMIN HYDROCHLORIDE
SIMPONI,40,Immunosuppressant,230,57,70,SIMPONI
COSENTYX,40,Immunosuppressant,230,57,70,COSENTYX
REMICADE,39,Immunosuppressant,230,57,70,REMICADE
XELJANZ,39,Immunosuppressant,230,57,70,XELJANZ
CIMZIA,39,Immunosuppressant,230,57,70,CIMZIA
ARAVA,38,Immunosuppressant,230,57,70,ARAVA
ADALIMUMAB,38,Immunosuppressant,230,57,70,ADALIMUMAB
PERPRAZOLE,38,Unclassified,204,204,204,PERPRAZOLE
CETIRIZINE,37,Respiratory (Other),144,190,109,CETIRIZINE
MELATONINA,37,Psycholeptic,155,93,229,MELATONINA
INFLIXIMAB,37,Immunosuppressant,230,57,70,INFLIXIMAB
OPSUMIT,37,Cardiovascular (Other),87,117,144,OPSUMIT
CLOPIDOGREL,36,Antithrombotic,69,123,157,CLOPIDOGREL
MYCOPHENOLATE MOFETIL,36,Immunosuppressant,230,57,70,MYCOPHENOLATE MOFETIL
DESOXIMETASONE,36,Dermatological,188,108,37,DESOXIMETASONE
CLONAZEPAM,36,Antiepileptic,201,173,229,CLONAZEPAM
ROSUVASTATIN,35,Lipid Modifying,123,151,212,ROSUVASTATIN
SERTRALINE,35,Psychoanaleptic,177,133,219,SERTRALINE
CARBOPLATIN,35,Antineoplastic,42,157,143,CARBOPLATIN
METOPROLOL,35,Beta Blocker,92,127,191,METOPROLOL
TADALAFIL,34,Cardiovascular (Other),87,117,144,TADALAFIL
PIPERACILLIN SODIUM\TAZOBACTAM SODIUM,34,Antibacterial,106,153,78,PIPERACILLIN SODIUM\TAZOBACTAM SODIUM
METOCLOPRAMIDE,34,Alimentary/Metabolism,138,177,125,METOCLOPRAMIDE
MAGNESIUM OXIDE,33,Alimentary/Metabolism,138,177,125,MAGNESIUM OXIDE
LOPERAMIDE,32,Alimentary/Metabolism,138,177,125,LOPERAMIDE
BACTRIM,32,Antibacterial,106,153,78,BACTRIM
AMIODARONE,32,Cardiovascular (Other),87,117,144,AMIODARONE
ALENDRONATE SODIUM,31,Musculoskeletal (Other),221,161,94,ALENDRONATE SODIUM
BISOPROLOL FUMARATE,31,Beta Blocker,92,127,191,BISOPROLOL FUMARATE
LEVETIRACETAM,31,Antiepileptic,201,173,229,LEVETIRACETAM
QUETIAPINE FUMARATE,31,Psycholeptic,155,93,229,QUETIAPINE FUMARATE
METOPROLOL SUCCINATE,31,Beta Blocker,92,127,191,METOPROLOL SUCCINATE
CEFTRIAXONE,31,Antibacterial,106,153,78,CEFTRIAXONE
FERROUS SULFATE,30,Blood (Other),61,90,128,FERROUS SULFATE
ERELZI,30,Immunosuppressant,230,57,70,ERELZI
