Id,signal_count,drug_class,r,g,b,Label
CANDESARTAN CILEXETIL,5,RAAS Inhibitor,67,97,160,CANDESARTAN CILEXETIL
MOVICOL,5,Alimentary/Metabolism,138,177,125,MOVICOL
DAPTOMYCIN,5,Antibacterial,106,153,78,DAPTOMYCIN
TICAGRELOR,5,Antithrombotic,69,123,157,TICAGRELOR
ZYRTEC,5,Respiratory (Other),144,190,109,ZYRTEC
MICAFUNGIN,5,Anti-infective (Other),56,102,65,MICAFUNGIN
CEFAZOLIN,5,Antibacterial,106,153,78,CEFAZOLIN
ALBUTEROL / IPRATROPIUM,5,Anti-asthmatic,181,201,154,ALBUTEROL / IPRATROPIUM
PRAMIPEXOLE,5,Nervous System (Other),212,191,239,PRAMIPEXOLE
DIVALPROEX SODIUM,5,Narrow Therapeutic Index,178,34,34,DIVALPROEX SODIUM
DULOXETINE HYDROCHLORIDE,5,Psychoanaleptic,177,133,219,DULOXETINE HYDROCHLORIDE
ADVAIR HFA,5,Anti-asthmatic,181,201,154,ADVAIR HFA
USTEKINUMAB,4,Immunosuppressant,230,57,70,USTEKINUMAB
RANITIDINA,4,Alimentary/Metabolism,138,177,125,RANITIDINA
LEUCOVORIN CALCIUM,4,Various,153,153,153,LEUCOVORIN CALCIUM
ANAKINRA,4,Immunosuppressant,230,57,70,ANAKINRA
AMIKACIN,4,Antibacterial,106,153,78,AMIKACIN
COLCHICINE,4,Musculoskeletal (Other),221,161,94,COLCHICINE
NUCALA,4,Anti-asthmatic,181,201,154,NUCALA
"CAVIAR, UNSPECIFIED",4,Unclassified,204,204,204,"CAVIAR, UNSPECIFIED"
INSULIN LISPRO,4,Antidiabetic,96,108,56,INSULIN LISPRO
WARFARIN SODIUM,4,Narrow Therapeutic Index,178,34,34,WARFARIN SODIUM
DILAUDID,4,Analgesic/Opioid,38,70,83,DILAUDID
ETORICOXIB,4,Anti-inflammatory (NSAID),231,111,81,ETORICOXIB
EPCORITAMAB,4,Antineoplastic,42,157,143,EPCORITAMAB
VENLAFAXINE HYDROCHLORIDE,4,Psychoanaleptic,177,133,219,VENLAFAXINE HYDROCHLORIDE
LERCANIDIPINO,4,Cardiovascular (Other),87,117,144,LERCANIDIPINO
LANTUS SOLOSTAR,4,Antidiabetic,96,108,56,LANTUS SOLOSTAR
DOMPERIDONE,4,Alimentary/Metabolism,138,177,125,DOMPERIDONE
PEGASPARGASE,4,Antineoplastic,42,157,143,PEGASPARGASE
GLUCOSAMINA,4,Anti-inflammatory (NSAID),231,111,81,GLUCOSAMINA
SYNTHROID,4,Hormonal,199,168,125,SYNTHROID
CLINDAMYCIN,4,Antibacterial,106,153,78,CLINDAMYCIN
LOXAPINE,4,Psycholeptic,155,93,229,LOXAPINE
MOUNJARO,4,Antidiabetic,96,108,56,MOUNJARO
AZTREONAM LYSINE,4,Unclassified,204,204,204,AZTREONAM LYSINE
PHENOBARBITAL,4,Antiepileptic,201,173,229,PHENOBARBITAL
ALDACTONE,4,Cardiovascular (Other),87,117,144,ALDACTONE
TOFACITINIB CITRATE,4,Immunosuppressant,230,57,70,TOFACITINIB CITRATE
TOBRAMYCIN,4,Antibacterial,106,153,78,TOBRAMYCIN
IMODIUM,4,Alimentary/Metabolism,138,177,125,IMODIUM
BOTULINUM TOXIN TYPE A,4,Musculoskeletal (Other),221,161,94,BOTULINUM TOXIN TYPE A
LINAGLIPTIN,4,Antidiabetic,96,108,56,LINAGLIPTIN
CYAMEMAZINE,4,Psycholeptic,155,93,229,CYAMEMAZINE
LAMICTAL,4,Antiepileptic,201,173,229,LAMICTAL
CISPLATIN,4,Antineoplastic,42,157,143,CISPLATIN
MONTELUKAST SODIUM,4,Anti-asthmatic,181,201,154,MONTELUKAST SODIUM
SUFENTANIL,4,Anesthetic,119,141,169,SUFENTANIL
POLYETHYLENE GLYCOL 3350,3,Alimentary/Metabolism,138,177,125,POLYETHYLENE GLYCOL 3350
EXTRANEAL,3,Genitourinary,204,213,174,EXTRANEAL
PEPCID,3,Alimentary/Metabolism,138,177,125,PEPCID
TRANEXAMIC ACID,3,Blood (Other),61,90,128,TRANEXAMIC ACID
CARBAMAZEPINE,3,Narrow Therapeutic Index,178,34,34,CARBAMAZEPINE
PRETOMANID,3,Anti-infective (Other),56,102,65,PRETOMANID
DEXMEDETOMIDINE,3,Psycholeptic,155,93,229,DEXMEDETOMIDINE
HYDROCORTISONE ACETATE,3,Corticosteroid,244,162,97,HYDROCORTISONE ACETATE
NOREPINEPHRINE BITARTRATE,3,Cardiovascular (Other),87,117,144,NOREPINEPHRINE BITARTRATE
DEXTROSE,3,Blood (Other),61,90,128,DEXTROSE
DILTIAZEM HYDROCHLORIDE,3,Cardiovascular (Other),87,117,144,DILTIAZEM HYDROCHLORIDE
DECADRON,3,Corticosteroid,244,162,97,DECADRON
FOLINIC ACID,3,Various,153,153,153,FOLINIC ACID
GLIMEPIRIDE,3,Antidiabetic,96,108,56,GLIMEPIRIDE
SINGULAIR,3,Anti-asthmatic,181,201,154,SINGULAIR
THYMOGLOBULIN,3,Immunosuppressant,230,57,70,THYMOGLOBULIN
FOSCARBIDOPA/FOSLEVODOPA,3,Unclassified,204,204,204,FOSCARBIDOPA/FOSLEVODOPA
CALCITRIOL,3,Alimentary/Metabolism,138,177,125,CALCITRIOL
CALCIUM GLUCONATE,3,Alimentary/Metabolism,138,177,125,CALCIUM GLUCONATE
ALFACALCIDOL,3,Alimentary/Metabolism,138,177,125,ALFACALCIDOL
DOXORUBICIN HYDROCHLORIDE,3,Antineoplastic,42,157,143,DOXORUBICIN HYDROCHLORIDE
AMPHETAMINE,3,Psychoanaleptic,177,133,219,AMPHETAMINE
IPRATROPIUM,3,Anti-asthmatic,181,201,154,IPRATROPIUM
HYDROXYZINE DIHYDROCHLORIDE,3,Psycholeptic,155,93,229,HYDROXYZINE DIHYDROCHLORIDE
MESALAMINE,3,Alimentary/Metabolism,138,177,125,MESALAMINE
ADCIRCA,3,Genitourinary,204,213,174,ADCIRCA
HYDROMORPHONE HYDROCHLORIDE,3,Analgesic/Opioid,38,70,83,HYDROMORPHONE HYDROCHLORIDE
FLONASE ALLERGY RELIEF,3,Respiratory (Other),144,190,109,FLONASE ALLERGY RELIEF
LETROZOLE,3,Antineoplastic/Immuno (Other),204,204,204,LETROZOLE
LENVIMA,3,Antineoplastic,42,157,143,LENVIMA
PHENYLEPHRINE,3,Cardiovascular (Other),87,117,144,PHENYLEPHRINE
VASOPRESSIN,3,Hormonal,199,168,125,VASOPRESSIN
SULFAMETHOXAZOLE,3,Antibacterial,106,153,78,SULFAMETHOXAZOLE
CEFTAZIDIME,3,Antibacterial,106,153,78,CEFTAZIDIME
MENTHOL/MINERAL OIL/VITAMIN A,3,Unclassified,204,204,204,MENTHOL/MINERAL OIL/VITAMIN A
CANNABIS SATIVA SUBSP. INDICA TOP,3,Analgesic/Opioid,38,70,83,CANNABIS SATIVA SUBSP. INDICA TOP
G CSF,3,Antineoplastic/Immuno (Other),204,204,204,G CSF
METHAMPHETAMINE,3,Psychoanaleptic,177,133,219,METHAMPHETAMINE
CLOZARIL,3,Psycholeptic,155,93,229,CLOZARIL
INDAPAMIDE,2,Cardiovascular (Other),87,117,144,INDAPAMIDE
ONFI,2,Psycholeptic,155,93,229,ONFI
TECENTRIQ,2,Antineoplastic,42,157,143,TECENTRIQ
DAUNORUBICIN,2,Antineoplastic,42,157,143,DAUNORUBICIN
PONATINIB,2,Antineoplastic,42,157,143,PONATINIB
SEMAGLUTIDE,2,Antidiabetic,96,108,56,SEMAGLUTIDE
DELFLEX WITH DEXTROSE 425% LOW MAGNESIUM LOW CALCIUM,2,Unclassified,204,204,204,DELFLEX WITH DEXTROSE 425% LOW MAGNESIUM LOW CALCIUM
ONIVYDE,2,Antineoplastic,42,157,143,ONIVYDE
BEVACIZUMAB,2,Antineoplastic,42,157,143,BEVACIZUMAB
EPLERENONA,2,Cardiovascular (Other),87,117,144,EPLERENONA
SKENAN,2,Analgesic/Opioid,38,70,83,SKENAN
HEPARIN SODIUM,2,Antithrombotic,69,123,157,HEPARIN SODIUM
SPIRIVA RESPIMAT,2,Anti-asthmatic,181,201,154,SPIRIVA RESPIMAT
REBAMIPIDE,2,Alimentary/Metabolism,138,177,125,REBAMIPIDE
TELMISARTAN,2,RAAS Inhibitor,67,97,160,TELMISARTAN
VITAMIN B COMPLEX,2,Alimentary/Metabolism,138,177,125,VITAMIN B COMPLEX
TRIKAFTA,2,Respiratory (Other),144,190,109,TRIKAFTA
PROAIR,2,Anti-asthmatic,181,201,154,PROAIR
CALCIUM PHOSPHATE / CHOLECALCIFEROL,2,Alimentary/Metabolism,138,177,125,CALCIUM PHOSPHATE / CHOLECALCIFEROL
POMALYST,2,Immunosuppressant,230,57,70,POMALYST
PROGRAF,2,Immunosuppressant,230,57,70,PROGRAF
NOVORAPID,2,Antidiabetic,96,108,56,NOVORAPID
RYBELSUS,2,Antidiabetic,96,108,56,RYBELSUS
FLUCYTOSINE,2,Anti-infective (Other),56,102,65,FLUCYTOSINE
PRAVASTATIN SODIUM,2,Lipid Modifying,123,151,212,PRAVASTATIN SODIUM
OPDIVO,2,Antineoplastic,42,157,143,OPDIVO
OCREVUS,2,Immunosuppressant,230,57,70,OCREVUS
TUMS,2,Alimentary/Metabolism,138,177,125,TUMS
IVABRADINE,2,Cardiovascular (Other),87,117,144,IVABRADINE
GEMCITABINE HYDROCHLORIDE,2,Antineoplastic,42,157,143,GEMCITABINE HYDROCHLORIDE
CAPECITABINE,2,Antineoplastic,42,157,143,CAPECITABINE
GENTAMICIN,2,Narrow Therapeutic Index,178,34,34,GENTAMICIN
LOXOPROFEN,2,Anti-inflammatory (NSAID),231,111,81,LOXOPROFEN
CLOBAZAM,2,Psycholeptic,155,93,229,CLOBAZAM
DICLOFENAC POTASSIUM,2,Anti-inflammatory (NSAID),231,111,81,DICLOFENAC POTASSIUM
AMIODARONE HYDROCHLORIDE,2,Cardiovascular (Other),87,117,144,AMIODARONE HYDROCHLORIDE
DUPIXENT,2,Dermatological,188,108,37,DUPIXENT
AMPICILLIN,2,Antibacterial,106,153,78,AMPICILLIN
TIZANIDINE,2,Musculoskeletal (Other),221,161,94,TIZANIDINE
ACETYLCYSTEINE,2,Respiratory (Other),144,190,109,ACETYLCYSTEINE
BETAMETHASONE,2,Corticosteroid,244,162,97,BETAMETHASONE
COVID-19 VACCINE MRNA,2,Anti-infective (Other),56,102,65,COVID-19 VACCINE MRNA
DARZALEX,2,Antineoplastic,42,157,143,DARZALEX
DIANEAL PD-2 PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE,2,Unclassified,204,204,204,DIANEAL PD-2 PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE
MOXIFLOXACIN,2,Antibacterial,106,153,78,MOXIFLOXACIN
BUDESONIDE\FORMOTEROL FUMARATE,2,Anti-asthmatic,181,201,154,BUDESONIDE\FORMOTEROL FUMARATE
ETANERCEPT,2,Immunosuppressant,230,57,70,ETANERCEPT
BREO ELLIPTA,2,Anti-asthmatic,181,201,154,BREO ELLIPTA
METHYLPHENIDATE,2,Psychoanaleptic,177,133,219,METHYLPHENIDATE
ALENDRONATE,2,Musculoskeletal (Other),221,161,94,ALENDRONATE
BENSERAZIDE / LEVODOPA,2,Nervous System (Other),212,191,239,BENSERAZIDE / LEVODOPA
FOSPHENYTOIN,2,Narrow Therapeutic Index,178,34,34,FOSPHENYTOIN
BUDESONIDE / FORMOTEROL,2,Anti-asthmatic,181,201,154,BUDESONIDE / FORMOTEROL
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE,2,Analgesic/Opioid,38,70,83,ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE
CHLORPHENIRAMINE MALEATE,2,Respiratory (Other),144,190,109,CHLORPHENIRAMINE MALEATE
ORIDONIN,2,Antineoplastic,42,157,143,ORIDONIN
LOSARTAN POTASSIUM,2,RAAS Inhibitor,67,97,160,LOSARTAN POTASSIUM
DELFLEX WITH DEXTROSE 25% LOW MAGNESIUM LOW CALCIUM,2,Unclassified,204,204,204,DELFLEX WITH DEXTROSE 25% LOW MAGNESIUM LOW CALCIUM
ALIMTA,2,Antineoplastic,42,157,143,ALIMTA
PALIPERIDONE,2,Psycholeptic,155,93,229,PALIPERIDONE
METHOTRIMEPRAZINE,2,Psycholeptic,155,93,229,METHOTRIMEPRAZINE
DELFLEX WITH DEXTROSE 15% LOW MAGNESIUM LOW CALCIUM,2,Unclassified,204,204,204,DELFLEX WITH DEXTROSE 15% LOW MAGNESIUM LOW CALCIUM
IFOSFAMIDE,2,Antineoplastic,42,157,143,IFOSFAMIDE
MAGNESIUM SULFATE,2,Alimentary/Metabolism,138,177,125,MAGNESIUM SULFATE
ROCURONIUM,2,Musculoskeletal (Other),221,161,94,ROCURONIUM
PHENYLEPHRINE HYDROCHLORIDE,2,Cardiovascular (Other),87,117,144,PHENYLEPHRINE HYDROCHLORIDE
MELOXICAM,2,Anti-inflammatory (NSAID),231,111,81,MELOXICAM
PHENYTOIN,2,Narrow Therapeutic Index,178,34,34,PHENYTOIN
EDOXABAN TOSYLATE,2,Antithrombotic,69,123,157,EDOXABAN TOSYLATE
BMS-830216,2,Unclassified,204,204,204,BMS-830216
ESOMEPRAZOLE MAGNESIUM,1,Alimentary/Metabolism,138,177,125,ESOMEPRAZOLE MAGNESIUM
CALONAL,1,Analgesic/Opioid,38,70,83,CALONAL
CLAVULANIC ACID,1,Antibacterial,106,153,78,CLAVULANIC ACID
PHLOROGLUCINOL,1,Alimentary/Metabolism,138,177,125,PHLOROGLUCINOL
BISACODYL,1,Alimentary/Metabolism,138,177,125,BISACODYL
DUTASTERIDE,1,Genitourinary,204,213,174,DUTASTERIDE
ZOLEDRONIC ACID,1,Musculoskeletal (Other),221,161,94,ZOLEDRONIC ACID
RITONAVIR,1,Antiviral,77,144,142,RITONAVIR
VALGANCICLOVIR,1,Antiviral,77,144,142,VALGANCICLOVIR
ACETAMINOPHEN\CODEINE PHOSPHATE,1,Analgesic/Opioid,38,70,83,ACETAMINOPHEN\CODEINE PHOSPHATE
ALENDRONATE / CHOLECALCIFEROL,1,Musculoskeletal (Other),221,161,94,ALENDRONATE / CHOLECALCIFEROL
AZILSARTAN KAMEDOXOMIL,1,RAAS Inhibitor,67,97,160,AZILSARTAN KAMEDOXOMIL
REPAGLINIDE,1,Antidiabetic,96,108,56,REPAGLINIDE
STERILE WATER,1,Unclassified,204,204,204,STERILE WATER
METOCLOPRAMIDE HYDROCHLORIDE,1,Alimentary/Metabolism,138,177,125,METOCLOPRAMIDE HYDROCHLORIDE
TAFASITAMAB,1,Antineoplastic,42,157,143,TAFASITAMAB
CAFFEINE,1,Psychoanaleptic,177,133,219,CAFFEINE
RIVASTIGMINE,1,Psychoanaleptic,177,133,219,RIVASTIGMINE
KALYDECO,1,Respiratory (Other),144,190,109,KALYDECO
ROCURONIUM BROMIDE,1,Musculoskeletal (Other),221,161,94,ROCURONIUM BROMIDE
VIDAZA,1,Antineoplastic,42,157,143,VIDAZA
ELTROMBOPAG OLAMINE,1,Blood (Other),61,90,128,ELTROMBOPAG OLAMINE
POLARAMINE,1,Respiratory (Other),144,190,109,POLARAMINE
ICATIBANT,1,Blood (Other),61,90,128,ICATIBANT
THIOTEPA,1,Antineoplastic,42,157,143,THIOTEPA
TREMFYA,1,Immunosuppressant,230,57,70,TREMFYA
TIRAGOLUMAB,1,Unclassified,204,204,204,TIRAGOLUMAB
SIROLIMUS,1,Antineoplastic,42,157,143,SIROLIMUS
ANORO ELLIPTA,1,Anti-asthmatic,181,201,154,ANORO ELLIPTA
GOLD,1,Anti-inflammatory (NSAID),231,111,81,GOLD
VICTOZA,1,Antidiabetic,96,108,56,VICTOZA
KETOROLAC,1,Anti-inflammatory (NSAID),231,111,81,KETOROLAC
PYRIDOXINE,1,Alimentary/Metabolism,138,177,125,PYRIDOXINE
RUXOLITINIB,1,Antineoplastic,42,157,143,RUXOLITINIB
DOCUSATE,1,Alimentary/Metabolism,138,177,125,DOCUSATE
PIRIDOSTIGMINA,1,Nervous System (Other),212,191,239,PIRIDOSTIGMINA
ACETAMINOPHEN / CODEINE,1,Analgesic/Opioid,38,70,83,ACETAMINOPHEN / CODEINE
RETINOL,1,Unclassified,204,204,204,RETINOL
DOCETAXEL,1,Antineoplastic,42,157,143,DOCETAXEL
NEUPRO,1,Nervous System (Other),212,191,239,NEUPRO
TAVNEOS,1,Immunosuppressant,230,57,70,TAVNEOS
ZOLPIDEM TARTRATE,1,Psycholeptic,155,93,229,ZOLPIDEM TARTRATE
NUPLAZID,1,Psycholeptic,155,93,229,NUPLAZID
DOXAZOSINA,1,Unclassified,204,204,204,DOXAZOSINA
SEROQUEL,1,Psycholeptic,155,93,229,SEROQUEL
DARATUMUMAB/HYALURONIDASE-FIHJ,1,Unclassified,204,204,204,DARATUMUMAB/HYALURONIDASE-FIHJ
TRESIBA,1,Antidiabetic,96,108,56,TRESIBA
VYXEOS,1,Antineoplastic,42,157,143,VYXEOS
MIRABEGRON,1,Genitourinary,204,213,174,MIRABEGRON
HYDROXYUREA,1,Antineoplastic,42,157,143,HYDROXYUREA
LATANOPROST,1,Sensory,204,204,204,LATANOPROST
TOUJEO,1,Antidiabetic,96,108,56,TOUJEO
ZETIA,1,Lipid Modifying,123,151,212,ZETIA
PROMETHAZINE,1,Respiratory (Other),144,190,109,PROMETHAZINE
OXYBUTYNIN,1,Genitourinary,204,213,174,OXYBUTYNIN
TOLVAPTAN,1,Cardiovascular (Other),87,117,144,TOLVAPTAN
ZUCLOPENTHIXOL,1,Psycholeptic,155,93,229,ZUCLOPENTHIXOL
VYALEV,1,Nervous System (Other),212,191,239,VYALEV
LABETOLOL,1,Beta Blocker,92,127,191,LABETOLOL
ISOSORBIDI DINITRAS,1,Cardiovascular (Other),87,117,144,ISOSORBIDI DINITRAS
COCODAMOL,1,Analgesic/Opioid,38,70,83,COCODAMOL
MONTELUKAST,1,Anti-asthmatic,181,201,154,MONTELUKAST
TREPROSTINIL SODIUM,1,Antithrombotic,69,123,157,TREPROSTINIL SODIUM
DEVICE,1,Unclassified,204,204,204,DEVICE
COZAAR,1,RAAS Inhibitor,67,97,160,COZAAR
IDARUBICIN HYDROCHLORIDE,1,Antineoplastic,42,157,143,IDARUBICIN HYDROCHLORIDE
ROTIGOTINE,1,Nervous System (Other),212,191,239,ROTIGOTINE
TEMOZOLOMIDE,1,Antineoplastic,42,157,143,TEMOZOLOMIDE
DEXILANT,1,Alimentary/Metabolism,138,177,125,DEXILANT
XCOPRI,1,Antiepileptic,201,173,229,XCOPRI
MOMETASONE FUROATE,1,Anti-asthmatic,181,201,154,MOMETASONE FUROATE
LIPOGEN,1,Unclassified,204,204,204,LIPOGEN
LANADELUMAB,1,Blood (Other),61,90,128,LANADELUMAB
NEXIUM,1,Alimentary/Metabolism,138,177,125,NEXIUM
SEVOFLURANE,1,Anesthetic,119,141,169,SEVOFLURANE
NOURIANZ,1,Nervous System (Other),212,191,239,NOURIANZ
FLUVOXAMINE,1,Psychoanaleptic,177,133,219,FLUVOXAMINE
OXYCONTIN,1,Analgesic/Opioid,38,70,83,OXYCONTIN
LEVEMIR,1,Antidiabetic,96,108,56,LEVEMIR
COLESTYRAMINE,1,Lipid Modifying,123,151,212,COLESTYRAMINE
ISONIAZID,1,Anti-infective (Other),56,102,65,ISONIAZID
TOPOTECAN,1,Antineoplastic,42,157,143,TOPOTECAN
ERBITUX,1,Antineoplastic,42,157,143,ERBITUX
DALFAMPRIDINE,1,Nervous System (Other),212,191,239,DALFAMPRIDINE
FLUMETHASONE PIVALATE,1,Dermatological,188,108,37,FLUMETHASONE PIVALATE
DOMPERIDONE MALEATE,1,Alimentary/Metabolism,138,177,125,DOMPERIDONE MALEATE
FLUOXETINE HYDROCHLORIDE,1,Psychoanaleptic,177,133,219,FLUOXETINE HYDROCHLORIDE
CHLORTHALIDONE,1,Cardiovascular (Other),87,117,144,CHLORTHALIDONE
CHLORHEXIDINE GLUCONATE,1,Blood (Other),61,90,128,CHLORHEXIDINE GLUCONATE
DOBUTAMINE,1,Cardiovascular (Other),87,117,144,DOBUTAMINE
GIMERACIL\OTERACIL\TEGAFUR,1,Unclassified,204,204,204,GIMERACIL\OTERACIL\TEGAFUR
LIDOCAINE / PRILOCAINE,1,Cardiovascular (Other),87,117,144,LIDOCAINE / PRILOCAINE
NAPROXEN SODIUM,1,Anti-inflammatory (NSAID),231,111,81,NAPROXEN SODIUM
FERROUS FUMARATE,1,Blood (Other),61,90,128,FERROUS FUMARATE
REVLIMID,1,Immunosuppressant,230,57,70,REVLIMID
CLORHEXIDINA,1,Dermatological,188,108,37,CLORHEXIDINA
GRANISETRON,1,Alimentary/Metabolism,138,177,125,GRANISETRON
ELEXACAFTOR / IVACAFTOR / TEZACAFTOR,1,Respiratory (Other),144,190,109,ELEXACAFTOR / IVACAFTOR / TEZACAFTOR
BROMAZEPAM,1,Psycholeptic,155,93,229,BROMAZEPAM
REGUNEAL LCA,1,Unclassified,204,204,204,REGUNEAL LCA
EMEND,1,Alimentary/Metabolism,138,177,125,EMEND
BORTEZOMIB,1,Antineoplastic,42,157,143,BORTEZOMIB
ENVARSUS XR,1,Immunosuppressant,230,57,70,ENVARSUS XR
LITHIUM CARBONATE,1,Narrow Therapeutic Index,178,34,34,LITHIUM CARBONATE
NICOTINE,1,Nervous System (Other),212,191,239,NICOTINE
AZOSEMIDE,1,Cardiovascular (Other),87,117,144,AZOSEMIDE
ANTI-THYMOCYTE GLOBULIN,1,Immunosuppressant,230,57,70,ANTI-THYMOCYTE GLOBULIN
CRESTOR,1,Lipid Modifying,123,151,212,CRESTOR
BEDAQUILINE,1,Anti-infective (Other),56,102,65,BEDAQUILINE
CALCIUM CARBONATE / CHOLECALCIFEROL / MAGNESIUM OXIDE,1,Alimentary/Metabolism,138,177,125,CALCIUM CARBONATE / CHOLECALCIFEROL / MAGNESIUM OXIDE
COMPAZINE,1,Psycholeptic,155,93,229,COMPAZINE
AKYNZEO,1,Alimentary/Metabolism,138,177,125,AKYNZEO
GLYBURIDE,1,Antidiabetic,96,108,56,GLYBURIDE
ATROVENT,1,Anti-asthmatic,181,201,154,ATROVENT
ENTECAVIR,1,Antiviral,77,144,142,ENTECAVIR
BASAGLAR,1,Antidiabetic,96,108,56,BASAGLAR
BACTRIM DS,1,Antibacterial,106,153,78,BACTRIM DS
ANASTROZOLE,1,Antineoplastic/Immuno (Other),204,204,204,ANASTROZOLE
METHIMAZOLE,1,Hormonal,199,168,125,METHIMAZOLE
ALBUMIN HUMAN,1,Blood (Other),61,90,128,ALBUMIN HUMAN
BREZTRI,1,Anti-asthmatic,181,201,154,BREZTRI
ERYTHROMYCIN,1,Antibacterial,106,153,78,ERYTHROMYCIN
FISHOIL,1,Unclassified,204,204,204,FISHOIL
CEFAZOLIN SODIUM,1,Antibacterial,106,153,78,CEFAZOLIN SODIUM
DEPAKOTE,1,Antiepileptic,201,173,229,DEPAKOTE
ATEZOLIZUMAB,1,Antineoplastic,42,157,143,ATEZOLIZUMAB
CLARITIN,1,Respiratory (Other),144,190,109,CLARITIN
FENOFIBRATE,1,Lipid Modifying,123,151,212,FENOFIBRATE
TPN,1,Blood (Other),61,90,128,TPN
SOLU-MEDROL,1,Corticosteroid,244,162,97,SOLU-MEDROL
RIFAMPIN,1,Anti-infective (Other),56,102,65,RIFAMPIN
BUDESONIDE / FORMOTEROL / GLYCOPYRRONIUM,1,Anti-asthmatic,181,201,154,BUDESONIDE / FORMOTEROL / GLYCOPYRRONIUM
DESLORATADINE,1,Respiratory (Other),144,190,109,DESLORATADINE
MEPOLIZUMAB,1,Anti-asthmatic,181,201,154,MEPOLIZUMAB
VANCOMYCIN HYDROCHLORIDE,1,Narrow Therapeutic Index,178,34,34,VANCOMYCIN HYDROCHLORIDE
REVATIO,1,Genitourinary,204,213,174,REVATIO
LOMOTIL,1,Alimentary/Metabolism,138,177,125,LOMOTIL
AVASTIN,1,Antineoplastic,42,157,143,AVASTIN
AVIBACTAM / CEFTAZIDIME,1,Antibacterial,106,153,78,AVIBACTAM / CEFTAZIDIME
TIGECYCLINE,1,Antibacterial,106,153,78,TIGECYCLINE
ATRACURIUM,1,Musculoskeletal (Other),221,161,94,ATRACURIUM
IMFINZI,1,Antineoplastic,42,157,143,IMFINZI
RIVOTRIL,1,Antiepileptic,201,173,229,RIVOTRIL
PAXLOVID,1,Antiviral,77,144,142,PAXLOVID
NICORANDIL,1,Cardiovascular (Other),87,117,144,NICORANDIL
LETAIRIS,1,Cardiovascular (Other),87,117,144,LETAIRIS
DIANEAL PD-2 WITH DEXTROSE,1,Unclassified,204,204,204,DIANEAL PD-2 WITH DEXTROSE
ZINCUM METALLICUM,1,Unclassified,204,204,204,ZINCUM METALLICUM
SPIROCTAN,1,Cardiovascular (Other),87,117,144,SPIROCTAN
REMDESIVIR,1,Antiviral,77,144,142,REMDESIVIR
PAROXETINE HYDROCHLORIDE,1,Psychoanaleptic,177,133,219,PAROXETINE HYDROCHLORIDE
CLOPIDOGREL BISULFATE,1,Antithrombotic,69,123,157,CLOPIDOGREL BISULFATE
ISATUXIMAB,1,Antineoplastic,42,157,143,ISATUXIMAB
MINOCICLINA,1,Unclassified,204,204,204,MINOCICLINA
ACUPAN,1,Analgesic/Opioid,38,70,83,ACUPAN
ELIGARD,1,Antineoplastic/Immuno (Other),204,204,204,ELIGARD
TRIMEPRAZINE,1,Respiratory (Other),144,190,109,TRIMEPRAZINE
BASILIXIMAB,1,Immunosuppressant,230,57,70,BASILIXIMAB
DIMENHYDRINATE,1,Respiratory (Other),144,190,109,DIMENHYDRINATE
LOPERAMIDE HYDROCHLORIDE,1,Alimentary/Metabolism,138,177,125,LOPERAMIDE HYDROCHLORIDE
BENZOYLECGONINE,1,Anesthetic,119,141,169,BENZOYLECGONINE
POLYETHYLENE GLYCOL 4000,1,Alimentary/Metabolism,138,177,125,POLYETHYLENE GLYCOL 4000
AUGMENTIN,1,Antibacterial,106,153,78,AUGMENTIN
MEMANTINE,1,Psychoanaleptic,177,133,219,MEMANTINE
ALVESCO,1,Anti-asthmatic,181,201,154,ALVESCO
METHADONE HYDROCHLORIDE,1,Nervous System (Other),212,191,239,METHADONE HYDROCHLORIDE
NIVOLUMAB,1,Antineoplastic,42,157,143,NIVOLUMAB
TEICOPLANIN,1,Antibacterial,106,153,78,TEICOPLANIN
CHLORPROMAZINE,1,Psycholeptic,155,93,229,CHLORPROMAZINE
RIFAXIMIN,1,Alimentary/Metabolism,138,177,125,RIFAXIMIN
VIMPAT,1,Antiepileptic,201,173,229,VIMPAT
