PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR,IN_DRUGBANK,DRUG_STATUS,VALIDATION_STATUS
METHOTREXATE + PSEUDOEPHEDRINE HYDROCHLORIDE,266,235,7.33136480531289,5.0410310706426085,10.66228498800521,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
AMLODIPINE + PIPERACILLIN SODIUM\TAZOBACTAM SODIUM,111,98,7.2885058829779,4.086721899723675,12.99876020675528,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
APIXABAN + POTASSIUM CHLORIDE,145,128,7.280206100731212,4.389376507474055,12.074926992222084,TOP_ROR,['ANTICOAGULANTS'],ANTICOAGULANTS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ASCORBIC ACID + OXYCODONE HYDROCHLORIDE,119,105,7.251423000272413,4.151705431204866,12.665430243113276,TOP_ROR,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
DICLOFENAC SODIUM + PHTHALYLSULFATHIAZOLE,228,201,7.199128980840128,4.817225687931194,10.75877723823856,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CARBOPLATIN + SIMVASTATIN,107,94,6.990949026075062,3.9142396629480394,12.486043904723632,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
POLYETHYLENE GLYCOL + PROCHLORPERAZINE,107,94,6.990949026075062,3.9142396629480394,12.486043904723632,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CETIRIZINE HYDROCHLORIDE + DESOXIMETASONE,344,302,6.954950856587301,5.036162636348413,9.604801296214134,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ADALIMUMAB + CETIRIZINE HYDROCHLORIDE,221,194,6.94829679449881,4.645399450182606,10.392826034054975,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
FOLIC ACID + OXYCODONE HYDROCHLORIDE,319,280,6.9440080598392555,4.96719301968966,9.707544632144208,TOP_ROR,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
DICLOFENAC + OXYCODONE HYDROCHLORIDE,155,136,6.9210835098720604,4.282405264327401,11.185629101860917,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
NAPROXEN + OXYCODONE HYDROCHLORIDE,129,113,6.828520111165807,4.045268460924127,11.526722480599895,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
OXYCODONE HYDROCHLORIDE + PANTOPRAZOLE SODIUM,232,203,6.7693291330452405,4.587271125345667,9.989341301042472,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ADALIMUMAB + CALCIUM,128,112,6.768074556425115,4.008298269112411,11.428000145176917,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CALCIUM CARBONATE + INFLIXIMAB,120,105,6.767978073130983,3.9399724286500186,11.625849679886327,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
