PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR,IN_DRUGBANK,DRUG_STATUS,VALIDATION_STATUS,IS_SAME_DRUG,IS_KNOWN_MISSED,HAS_INTL_VARIANT,IS_MANUAL_EXCLUSION,NEEDS_REVIEW
NAPROXEN + OXYCODONE HYDROCHLORIDE,129,114,7.348248513046242,4.28923899585756,12.58888960527381,TOP_ROR,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
CYCLOPHOSPHAMIDE + VALACICLOVIR,120,106,7.320501664694113,4.192553080667692,12.782126687887937,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
DARATUMUMAB/HYALURONIDASE-FIHJ + DEXAMETHASONE,154,136,7.305606205319672,4.468372880943357,11.944366204267514,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
NAPROXEN + OXYCODONE,188,166,7.296290317429314,4.676932769862221,11.382642217835652,TOP_ROR,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
ASCORBIC ACID + LANSOPRAZOLE,128,113,7.283772787158422,4.250426833673033,12.48188666480425,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
CALCIUM CARBONATE + CETIRIZINE HYDROCHLORIDE,152,134,7.1981364162230355,4.400753907493973,11.773702632706724,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
LEFLUNOMIDE + RAMIPRIL,244,215,7.169692159790478,4.865189388559382,10.565772791299764,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
ALENDRONIC ACID + PSEUDOEPHEDRINE HYDROCHLORIDE,109,96,7.139726743503169,4.000477544188981,12.742403227819818,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
OXYCODONE + PANTOPRAZOLE SODIUM,243,214,7.136327697022052,4.842027758712424,10.517736687413466,TOP_ROR,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
FOLIC ACID + OXYCODONE HYDROCHLORIDE,317,279,7.101293028606975,5.059833304676945,9.9664079114088,TOP_ROR,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
ASCORBIC ACID + DICLOFENAC SODIUM,239,210,7.0028714408956185,4.749384399681807,10.32559260122154,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
METHOTREXATE + OXYCODONE,434,380,6.807605200649793,5.119021970197118,9.053191964739616,HIGH_RISK_CLASS,"['OPIOIDS', 'ANTINEOPLASTICS']","OPIOIDS, ANTINEOPLASTICS",False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
ADALIMUMAB + CETIRIZINE HYDROCHLORIDE,199,174,6.730247291551649,4.4254567187530585,10.235379415980647,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
CARBOPLATIN + ROSUVASTATIN,118,103,6.639032475952884,3.8623717431719986,11.411835822037874,HIGH_RISK_CLASS,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
MICAFUNGIN + TACROLIMUS,101,88,6.544624405866607,3.655568449765135,11.716948869229006,HIGH_RISK_CLASS,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
OXYCODONE + RAMIPRIL,186,162,6.527008424448826,4.251326043431456,10.020835508170032,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
CETIRIZINE HYDROCHLORIDE + INFLIXIMAB,182,158,6.365786867863684,4.143415681629703,9.780153757377049,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
NAPROXEN + RITUXIMAB,362,314,6.327480895651086,4.66979612164734,8.573610804813,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
ASCORBIC ACID + OXYCODONE HYDROCHLORIDE,113,98,6.316673875139689,3.668395384153601,10.876790712699682,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
OXYCODONE HYDROCHLORIDE + PANTOPRAZOLE SODIUM,232,201,6.270147122976267,4.2955320348463975,9.15247392519409,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
MYCOPHENOLATE MOFETIL + RAMIPRIL,148,128,6.188129302990257,3.862621528931774,9.913718955819308,HIGH_RISK_CLASS,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
