PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR,IN_DRUGBANK,DRUG_STATUS,VALIDATION_STATUS
FLUDARABINE + ONDANSETRON,106,95,8.34998583659251,4.472761226719641,15.588192603438038,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ACETAMINOPHEN + CHLORHEXIDINE GLUCONATE,183,164,8.346570965644563,5.190566561299645,13.421511132129208,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
ONDANSETRON + VANCOMYCIN,154,138,8.339752873109985,4.969844612264161,13.99469871007898,TOP_ROR,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CALCIUM CARBONATE + OXYCODONE,125,112,8.329999678319172,4.690589657424773,14.793213584769935,TOP_ROR,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
HYDROCORTISONE ACETATE + METHOTREXATE,125,112,8.329999678319172,4.690589657424773,14.793213584769935,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
ALENDRONATE SODIUM + XELJANZ,173,155,8.326620441181468,5.110893569437286,13.565652860803878,TOP_ROR,[],NONE,False,NEITHER_KNOWN,UNKNOWN_DRUGS
RAMIPRIL + VITAMIN D2,163,146,8.304342294654795,5.025255866414646,13.72310242105038,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + HUMIRA,163,146,8.304342294654795,5.025255866414646,13.72310242105038,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
DICLOFENAC SODIUM + XELJANZ,230,206,8.30064900971443,5.438832361528634,12.668302569838344,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
ARAVA + OXYCODONE TEREPHTHALATE,115,103,8.298852126564775,4.564215921096566,15.08932701896413,TOP_ROR,['OPIOIDS'],OPIOIDS,False,NEITHER_KNOWN,UNKNOWN_DRUGS
ENBREL + QUETIAPINE FUMARATE,115,103,8.298852126564775,4.564215921096566,15.08932701896413,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
DICLOFENAC + RITUXIMAB,450,403,8.295510405477625,6.13234042040394,11.22173398241558,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
PANTOPRAZOLE SODIUM + TRIAMCINOLONE ACETONIDE,134,120,8.287637632460521,4.76454455305089,14.41584536826184,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
DESOXIMETASONE + DICLOFENAC,239,214,8.27822196939095,5.470340002763923,12.527367392133272,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
CELLCEPT + LANSOPRAZOLE,105,94,8.262071506355163,4.42414471303273,15.429383531474206,TOP_ROR,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + PHTHALYLSULFATHIAZOLE,143,128,8.250941032056506,4.832716447272063,14.086907158168133,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
DICLOFENAC SODIUM + METHOTREXATE,618,553,8.233494183947496,6.367298987355703,10.646653567190215,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
CIMZIA + INFLIXIMAB,285,255,8.220901102473633,5.631327324264758,12.00129401916378,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + ORENCIA,171,153,8.219140891992524,5.043248926520483,13.394991599003175,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
COSENTYX + XELJANZ,275,246,8.204069621804155,5.583342586110942,12.054921818131184,TOP_ROR,[],NONE,False,NEITHER_KNOWN,UNKNOWN_DRUGS
QUETIAPINE FUMARATE + RITUXIMAB,284,254,8.188642700113705,5.608790663395043,11.955138512789002,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CETIRIZINE HYDROCHLORIDE + KEVZARA,123,110,8.181210583947173,4.604307710723318,14.53686652241026,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
LEFLUNOMIDE + METHYLPREDNISOLONE SODIUM SUCCINATE,123,110,8.181210583947173,4.604307710723318,14.53686652241026,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
METHYLPREDNISOLONE SODIUM SUCCINATE + NAPROXEN,123,110,8.181210583947173,4.604307710723318,14.53686652241026,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
ARAVA + DICLOFENAC SODIUM,312,279,8.177347574253682,5.700395187248145,11.730592556063367,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
LEFLUNOMIDE + PSEUDOEPHEDRINE HYDROCHLORIDE,208,186,8.175752230732979,5.255398024840552,12.718908105987506,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
DICLOFENAC DIETHYLAMMONIUM + RAMIPRIL,104,93,8.174157596264006,4.37552982570246,15.27057409506598,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
DESOXIMETASONE + TOFACITINIB CITRATE,104,93,8.174157596264006,4.37552982570246,15.27057409506598,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
OLANZAPINE + SULFAMETHOXAZOLE / TRIMETHOPRIM,104,93,8.174157596264006,4.37552982570246,15.27057409506598,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
CETIRIZINE HYDROCHLORIDE + TRAMADOL HYDROCHLORIDE,132,118,8.149471389415089,4.682818504479289,14.182459530167092,TOP_ROR,['OPIOIDS'],OPIOIDS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
ENBREL + METHYLPREDNISOLONE SODIUM SUCCINATE,113,101,8.137670475635186,4.472806898432779,14.805396761757804,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,NEITHER_KNOWN,UNKNOWN_DRUGS
INFLIXIMAB + QUETIAPINE FUMARATE,113,101,8.137670475635186,4.472806898432779,14.805396761757804,TOP_ROR,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
CELECOXIB + CHOLECALCIFEROL,160,143,8.1336468102837,4.919259611982441,13.448408023291442,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
HUMIRA + PSEUDOEPHEDRINE HYDROCHLORIDE,178,159,8.09200564217047,5.028360263670061,13.022248184167749,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
LANTUS + SIMVASTATIN,103,92,8.08624410631603,4.326916607550554,15.111764260219058,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
