drug,degree_centrality,betweenness_centrality,eigenvector_centrality,degree,drug_class
ATORVASTATIN CALCIUM,0.06901615271659324,0.001481385505744148,0.035473739314994646,47,Lipid Modifying
APIXABAN,0.06754772393538913,0.0027856957761078,0.058252406682057764,46,Antithrombotic
HYDROXYCHLOROQUINE SULFATE,0.06754772393538913,0.0020342057527856956,0.10280150266279349,46,Antiparasitic
HUMIRA,0.06754772393538913,0.0013345426276237368,0.10783685082414465,46,Immunosuppressant
ALBUTEROL,0.06754772393538913,0.009549105986006737,0.03496262923718494,46,Anti-asthmatic
VITAMIN D2,0.06754772393538913,0.002604301632547292,0.09260226550652433,46,Alimentary/Metabolism
CYANOCOBALAMIN,0.06607929515418502,0.008961734473525093,0.032803240060836555,45,Blood (Other)
NAPROXEN,0.06461086637298091,0.0017405199965448734,0.09699442550234523,44,Anti-inflammatory (NSAID)
CARVEDILOL,0.06461086637298091,0.0032262244104690335,0.03978765544576851,44,Beta Blocker
MAGNESIUM,0.06314243759177679,0.002094670467305865,0.05195849193279737,43,Alimentary/Metabolism
HYDROXYCHLOROQUINE,0.06314243759177679,0.002094670467305865,0.10422186157493023,43,Antiparasitic
ZOPICLONE,0.06314243759177679,0.007834499438541937,0.056599031549210144,43,Psycholeptic
ORENCIA,0.06314243759177679,8.205925542022976e-05,0.11918768339356277,43,Immunosuppressant
DICLOFENAC SODIUM,0.06167400881057268,0.0007687656560421526,0.11781506950234348,42,Anti-inflammatory (NSAID)
ENBREL,0.06167400881057268,0.00013820506176038697,0.10586598504238064,42,Immunosuppressant
TRAMADOL HYDROCHLORIDE,0.06167400881057268,0.0004405286343612335,0.08978248379832676,42,Analgesic/Opioid
TACROLIMUS,0.06167400881057268,0.009216550056145807,0.03758320751353721,42,Narrow Therapeutic Index
BISOPROLOL,0.06020558002936857,0.001118597218623132,0.040697330082536363,41,Beta Blocker
MORPHINE,0.06020558002936857,0.00885376176902479,0.051057044552809926,41,Analgesic/Opioid
REMODULIN,0.06020558002936857,0.0009501597996026605,0.039247242545864126,41,Antithrombotic
AZITHROMYCIN,0.06020558002936857,0.006616567331778527,0.04430791778403458,41,Antibacterial
FLUCONAZOLE,0.06020558002936857,0.005627537358555757,0.04216917572928563,41,Anti-infective (Other)
SIMPONI,0.05873715124816446,0.0002634533989807377,0.09477822002740716,40,Immunosuppressant
COSENTYX,0.05873715124816446,0.0009847110650427573,0.10775382828797639,40,Immunosuppressant
METFORMIN HYDROCHLORIDE,0.05873715124816446,0.0024531398462468686,0.03850363488423148,40,Antidiabetic
CIMZIA,0.057268722466960346,5.614580634015721e-05,0.11365882804089443,39,Immunosuppressant
REMICADE,0.057268722466960346,0.0016757363738446921,0.09074921745316092,39,Immunosuppressant
XELJANZ,0.057268722466960346,0.0,0.11807808262446448,39,Immunosuppressant
ADALIMUMAB,0.05580029368575624,0.0017534767210849098,0.1172015919414369,38,Immunosuppressant
PERPRAZOLE,0.05580029368575624,0.00047939880798134233,0.04348043287940172,38,Unclassified
ARAVA,0.05580029368575624,0.00011229161268031441,0.11015946627462991,38,Immunosuppressant
INFLIXIMAB,0.05433186490455213,0.0031787164204889005,0.09254527671670083,37,Immunosuppressant
OPSUMIT,0.05433186490455213,0.005981687829316748,0.030966285330385628,37,Cardiovascular (Other)
MELATONINA,0.05433186490455213,0.004284356914571996,0.041676172304425455,37,Psycholeptic
CETIRIZINE,0.05433186490455213,0.0007169387578820074,0.09377853332371089,37,Respiratory (Other)
MYCOPHENOLATE MOFETIL,0.05286343612334801,0.008871037401744839,0.06938598183360513,36,Immunosuppressant
DESOXIMETASONE,0.05286343612334801,4.318908180012093e-06,0.1325919848870151,36,Dermatological
CLONAZEPAM,0.05286343612334801,0.011077999481731018,0.022843269676157345,36,Antiepileptic
CLOPIDOGREL,0.05286343612334801,0.0011013215859030838,0.033030487746266796,36,Antithrombotic
ROSUVASTATIN,0.0513950073421439,0.005264749071434741,0.024476266149575213,35,Lipid Modifying
SERTRALINE,0.0513950073421439,0.002405631856266736,0.03047987720720487,35,Psychoanaleptic
CARBOPLATIN,0.0513950073421439,0.002923900837868187,0.056828757877597266,35,Antineoplastic
METOPROLOL,0.0513950073421439,0.0017102876392847887,0.02508470765649789,35,Beta Blocker
METOCLOPRAMIDE,0.049926578560939794,0.0009890299732227693,0.047564535741947446,34,Alimentary/Metabolism
PIPERACILLIN SODIUM\TAZOBACTAM SODIUM,0.049926578560939794,0.0011876997495033255,0.055979004274010605,34,Antibacterial
TADALAFIL,0.049926578560939794,0.0014166018830439665,0.03515240600370294,34,Cardiovascular (Other)
MAGNESIUM OXIDE,0.04845814977973568,0.009207912239785782,0.03438641557790705,33,Alimentary/Metabolism
LOPERAMIDE,0.04698972099853157,0.00033687483804094325,0.041178973320363445,32,Alimentary/Metabolism
BACTRIM,0.04698972099853157,0.0001252483372203507,0.042249966605829935,32,Antibacterial
AMIODARONE,0.04698972099853157,0.0002634533989807377,0.04095388027998449,32,Cardiovascular (Other)
CEFTRIAXONE,0.04552129221732746,0.0022112809881661916,0.037766120365311275,31,Antibacterial
QUETIAPINE FUMARATE,0.04552129221732746,0.00015548069448043534,0.07075521325072118,31,Psycholeptic
METOPROLOL SUCCINATE,0.04552129221732746,0.0011272350349831562,0.023485574977141505,31,Beta Blocker
LEVETIRACETAM,0.04552129221732746,0.0061717197892372806,0.04378046117900171,31,Antiepileptic
BISOPROLOL FUMARATE,0.04552129221732746,0.0030361924505485013,0.03720350329711624,31,Beta Blocker
ALENDRONATE SODIUM,0.04552129221732746,5.1826898160145116e-05,0.1118690018674753,31,Musculoskeletal (Other)
FERROUS SULFATE,0.04405286343612334,0.0004362097261812214,0.03216108692349882,30,Blood (Other)
ERELZI,0.04405286343612334,6.0464714520169305e-05,0.10375404184537258,30,Immunosuppressant
HYDROCHLOROTHIAZIDE,0.04405286343612334,0.0012265699231234343,0.027510411802471428,30,RAAS Inhibitor
VALACYCLOVIR HYDROCHLORIDE,0.042584434654919234,0.007026863608879675,0.029101361736129146,29,Antiviral
KARDEGIC,0.042584434654919234,0.0001295672454003628,0.04325721338382138,29,Antithrombotic
FILGRASTIM,0.042584434654919234,0.0013604560767038092,0.04120609219539448,29,Antineoplastic/Immuno (Other)
RISPERIDONE,0.042584434654919234,0.0006391984106417898,0.029936538318156954,29,Psycholeptic
BUMETANIDE,0.041116005873715125,0.0,0.03417160543068722,28,Cardiovascular (Other)
CELECOXIB,0.041116005873715125,4.7507989980133024e-05,0.07934934085364018,28,Antineoplastic
PSEUDOEPHEDRINE HYDROCHLORIDE,0.041116005873715125,0.0,0.09512030030785158,28,Respiratory (Other)
CANDESARTAN,0.041116005873715125,0.003152802971408828,0.060597459686999894,28,RAAS Inhibitor
PHTHALYLSULFATHIAZOLE,0.041116005873715125,0.0,0.09966642245699947,28,Alimentary/Metabolism
CORTISONE ACETATE,0.03964757709251101,0.00288934957242809,0.10086708736599316,27,Corticosteroid
TOCILIZUMAB,0.03964757709251101,0.0007471711151420921,0.06943586144883615,27,Immunosuppressant
PROPOFOL,0.0381791483113069,0.013241772479917077,0.015420731588047444,26,Anesthetic
LANTUS,0.0381791483113069,0.0003584693789410037,0.03084976461922907,26,Antidiabetic
HYDROMORPHONE,0.0381791483113069,0.0020126112118856354,0.03434917454157068,26,Analgesic/Opioid
CARBIDOPA / LEVODOPA,0.0381791483113069,0.012680314416515504,0.01947864714926983,26,Nervous System (Other)
SILDENAFIL CITRATE,0.03671071953010279,0.0,0.026524076392385933,25,Genitourinary
AMBRISENTAN,0.03671071953010279,1.7275632720048372e-05,0.0220571235284279,25,Cardiovascular (Other)
FOSAMAX,0.03671071953010279,0.0,0.09891383281515134,25,Musculoskeletal (Other)
VALSARTAN,0.03671071953010279,2.1594540900060463e-05,0.026370502916155118,25,RAAS Inhibitor
TAMSULOSIN,0.035242290748898675,0.0010581325041029628,0.02158813068311593,24,Genitourinary
DIPHENHYDRAMINE,0.035242290748898675,0.00011229161268031441,0.02885578462496138,24,Anti-inflammatory (NSAID)
EPINEPHRINE,0.035242290748898675,0.01553943163168351,0.02188430928250464,24,Cardiovascular (Other)
CALCIUM,0.035242290748898675,0.0025265612853070745,0.041629141192121584,24,Alimentary/Metabolism
SODIUM BICARBONATE,0.033773861967694566,0.0004362097261812214,0.027068167293238278,23,Blood (Other)
TYLENOL,0.033773861967694566,0.0003584693789410037,0.020004051903209898,23,Analgesic/Opioid
DICLOFENAC DIETHYLAMMONIUM,0.033773861967694566,0.0006132849615617172,0.07749111144477641,23,Anti-inflammatory (NSAID)
OXYCODONE HYDROCHLORIDE,0.033773861967694566,0.0009501597996026605,0.05801583892851823,23,Analgesic/Opioid
CYTARABINE,0.032305433186490456,0.004660101926233048,0.01771713597728354,22,Antineoplastic
CODEINE,0.032305433186490456,0.0008896950850824911,0.04612017332362109,22,Analgesic/Opioid
XARELTO,0.032305433186490456,0.0015504880366243414,0.0248344581107197,22,Antithrombotic
URSADIOL 300 MG ORAL CAPSULE [URSODIOL],0.032305433186490456,0.0015634447611643776,0.03336495382367165,22,Unclassified
ZOFRAN,0.032305433186490456,0.0049969767642739915,0.01792478351769232,22,Alimentary/Metabolism
INSULIN,0.032305433186490456,0.0008724194523624428,0.024631847323524324,22,Antidiabetic
VORICONAZOLE,0.032305433186490456,0.0013215859030837004,0.021126490031257557,22,Anti-infective (Other)
AMLODIPINE BESYLATE,0.03083700440528634,0.00028072903170078605,0.018191323647758995,21,Cardiovascular (Other)
HUMALOG,0.03083700440528634,0.0004707609916213181,0.018388991126673495,21,Antidiabetic
DIGOXIN,0.03083700440528634,8.637816360024186e-06,0.02602874092180548,21,Narrow Therapeutic Index
TOPIRAMATE,0.03083700440528634,0.0004405286343612335,0.04156290244480938,21,Antiepileptic
METOPROLOL TARTRATE,0.02936857562408223,0.001585039302064438,0.02264064157869615,20,Beta Blocker
CELEBREX,0.02936857562408223,0.0028072903170078605,0.042389681494632,20,Antineoplastic
ADEMPAS,0.02936857562408223,0.00048371771616135444,0.016274403408900396,20,Cardiovascular (Other)
OXAZEPAM,0.02936857562408223,4.3189081800120926e-05,0.030614928111083774,20,Psycholeptic
TYVASO,0.02936857562408223,0.0,0.023498780662551812,20,Antithrombotic
METHYLPREDNISOLONE SODIUM SUCCINATE,0.02936857562408223,0.00016411851084045952,0.06992301974382882,20,Corticosteroid
IRBESARTAN,0.02790014684287812,0.0,0.019812952947352223,19,RAAS Inhibitor
PROCHLORPERAZINE,0.02790014684287812,0.0003843828280210763,0.022901833493556144,19,Psycholeptic
CIPROFLOXACIN,0.02790014684287812,0.003152802971408828,0.01788331799140255,19,Antibacterial
VITAMINS,0.02790014684287812,0.00046212317526129397,0.014246570809556934,19,Alimentary/Metabolism
AMOXICILLIN,0.02790014684287812,0.004366416169992226,0.02352546141698249,19,Antibacterial
SERTRALINE HYDROCHLORIDE,0.02790014684287812,0.00018139414356050791,0.02446669153542534,19,Psychoanaleptic
AMOXICILLIN / CLAVULANATE,0.026431718061674006,0.0006132849615617172,0.02252079963806175,18,Antibacterial
ESCITALOPRAM,0.026431718061674006,0.0005312257061414875,0.018989841331611832,18,Psychoanaleptic
DIPYRONE,0.026431718061674006,0.00014252396994039908,0.033145741037332435,18,Analgesic/Opioid
TRELEGY ELLIPTA,0.026431718061674006,0.0005182689816014512,0.02226509408060261,18,Anti-asthmatic
FLUOXETINE,0.026431718061674006,0.0008249114623823097,0.01759288195833311,18,Psychoanaleptic
SENNOSIDES,0.026431718061674006,0.0005528202470415479,0.017419270006292367,18,Alimentary/Metabolism
DILTIAZEM,0.026431718061674006,0.0012870346376436038,0.02876697620571438,18,Cardiovascular (Other)
TRAMADOL,0.024963289280469897,0.00032823702168091905,0.016404514898480237,17,Analgesic/Opioid
KEVZARA,0.024963289280469897,0.0,0.054862235752441424,17,Immunosuppressant
AMPHOTERICIN B,0.024963289280469897,0.0015418502202643172,0.014161473517982538,17,Anti-infective (Other)
HYDROXYZINE,0.024963289280469897,0.00019866977628055628,0.014711928677296125,17,Psycholeptic
CLONIDINE,0.024963289280469897,0.0003455126544009674,0.011746954235336494,17,Analgesic/Opioid
ZOLPIDEM,0.024963289280469897,3.8870173620108835e-05,0.020323189654638498,17,Psycholeptic
ALENDRONIC ACID,0.023494860499265784,0.0,0.06794929791427638,16,Musculoskeletal (Other)
ARIPIPRAZOLE,0.023494860499265784,0.002142178457285998,0.010676406639195347,16,Psycholeptic
MIDAZOLAM,0.023494860499265784,0.006966398894359506,0.010966667893364698,16,Psycholeptic
VENLAFAXINE,0.023494860499265784,0.0001252483372203507,0.01415430414777348,16,Psychoanaleptic
LINEZOLID,0.023494860499265784,0.0062840114019175955,0.024424980341089714,16,Antibacterial
VENCLEXTA,0.023494860499265784,0.0060119201865768334,0.01319155336966918,16,Antineoplastic
POSACONAZOLE,0.023494860499265784,0.0013129480867236762,0.019317907177997362,16,Anti-infective (Other)
OZEMPIC,0.02202643171806167,0.0034205752785695775,0.011913893187026032,15,Antidiabetic
TYVASO DPI,0.02202643171806167,0.0004362097261812214,0.011518693541798531,15,Antithrombotic
VALACICLOVIR,0.02202643171806167,0.0001166105208603265,0.02280223800066535,15,Antiviral
MORPHINE SULFATE,0.02202643171806167,0.00016843741902047163,0.02084848312923813,15,Analgesic/Opioid
DULOXETINA,0.02202643171806167,0.0017362010883648614,0.011158284036858136,15,Psychoanaleptic
ORENITRAM,0.02202643171806167,1.7275632720048372e-05,0.013230514534064807,15,Antithrombotic
METRONIDAZOLE,0.02202643171806167,0.0002980046644208344,0.020037599879564535,15,Antibacterial
LAMOTRIGINE,0.02202643171806167,0.00047507989980133023,0.0166143061561374,15,Antiepileptic
TRIAMCINOLONE ACETONIDE,0.02202643171806167,0.0,0.053877797611679656,15,Corticosteroid
MIRALAX,0.02202643171806167,0.00010365379632029023,0.016462263506299594,15,Alimentary/Metabolism
STELARA,0.02202643171806167,5.614580634015721e-05,0.05237186531369096,15,Immunosuppressant
TRULICITY,0.02202643171806167,0.00033255592986093115,0.010442714498550007,15,Antidiabetic
CLOZAPINE,0.02202643171806167,0.004824220437073508,0.010504536017940639,15,Psycholeptic
FLUDARABINE,0.02202643171806167,0.001580720393884426,0.017245856968137366,15,Antineoplastic
LYRICA,0.020558002936857563,4.3189081800120926e-05,0.026184255049206757,14,Analgesic/Opioid
DAPAGLIFLOZIN,0.020558002936857563,0.008866718493564827,0.008517083735876074,14,Antidiabetic
TREPROSTINIL,0.020558002936857563,0.0,0.014776878472753633,14,Antithrombotic
INSULIN GLARGINE,0.020558002936857563,0.00015979960266044744,0.01795534394068607,14,Antidiabetic
PIPERACILLIN / TAZOBACTAM,0.020558002936857563,0.0,0.02386274085426846,14,Antibacterial
ENTRESTO,0.020558002936857563,0.00014252396994039908,0.01840669133879608,14,RAAS Inhibitor
ETOPOSIDE,0.020558002936857563,0.005627537358555757,0.013726139369961048,14,Antineoplastic
CITALOPRAM,0.020558002936857563,0.0002936857562408223,0.014661432029793139,14,Psychoanaleptic
PROTONIX,0.020558002936857563,6.910253088019349e-05,0.016244980930966137,14,Alimentary/Metabolism
KETOPROFEN,0.020558002936857563,0.0016541418329446317,0.013028980163252775,14,Anti-inflammatory (NSAID)
LOSARTAN,0.020558002936857563,0.0001727563272004837,0.008803603649279245,14,RAAS Inhibitor
NIFEDIPINE,0.020558002936857563,0.00021162650082059257,0.015561831884495374,14,Beta Blocker
KEYTRUDA,0.020558002936857563,0.001995335579165587,0.016938187007453736,14,Antineoplastic
SOTATERCEPT,0.01908957415565345,9.069707178025396e-05,0.011476687120016496,13,Cardiovascular (Other)
CERTOLIZUMAB PEGOL,0.01908957415565345,7.342143906020558e-05,0.041941503523183335,13,Immunosuppressant
CEFEPIME,0.01908957415565345,0.0,0.025844911954252404,13,Antibacterial
LIDOCAINE,0.01908957415565345,0.0,0.013794361496186567,13,Cardiovascular (Other)
CLOTRIMAZOLE,0.01908957415565345,7.774034724021767e-05,0.017974447552899495,13,Dermatological
CALCIUM CARBONATE / CHOLECALCIFEROL,0.01908957415565345,0.0020212490282456594,0.021833774504036157,13,Alimentary/Metabolism
ENOXAPARIN SODIUM,0.01908957415565345,0.0014295586075840027,0.022318178886959125,13,Antithrombotic
SILDENAFILO,0.017621145374449337,0.00019435086810054417,0.018101473822259975,12,Genitourinary
HEPARIN,0.017621145374449337,0.0032780513086291783,0.01205261907457932,12,Antithrombotic
PEMBROLIZUMAB,0.017621145374449337,0.00027641012352077395,0.024275226582591132,12,Antineoplastic
KORTISON,0.017621145374449337,0.0,0.03487124503548123,12,Corticosteroid
WINREVAIR,0.017621145374449337,5.1826898160145116e-05,0.010292509100183641,12,Cardiovascular (Other)
FEBUXOSTAT,0.017621145374449337,1.7275632720048372e-05,0.015349567833864753,12,Musculoskeletal (Other)
AMITRIPTYLINE HYDROCHLORIDE,0.017621145374449337,0.00018571305174052,0.007058040265881797,12,Psychoanaleptic
LITHIUM,0.017621145374449337,8.637816360024185e-05,0.015926165620580628,12,Narrow Therapeutic Index
BUPROPION,0.017621145374449337,7.342143906020558e-05,0.008857358549057882,12,Psychoanaleptic
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE,0.017621145374449337,0.0,0.0656430375671474,12,Respiratory (Other)
SYMBICORT,0.017621145374449337,0.0,0.014296856245298098,12,Anti-asthmatic
COCAINE,0.016152716593245228,0.0076358296622613805,0.011841114284475643,11,Anesthetic
SPIRIVA,0.016152716593245228,0.00074285220696208,0.013672062324492777,11,Anti-asthmatic
ATIVAN,0.016152716593245228,0.0,0.025442704039852253,11,Psycholeptic
OTEZLA,0.016152716593245228,0.0,0.03666279047113499,11,Immunosuppressant
GLICLAZIDE,0.016152716593245228,0.0001727563272004837,0.013335650357588748,11,Antidiabetic
VINCRISTINE,0.016152716593245228,0.003057786991448562,0.019254001444077407,11,Antineoplastic
LORATADINE,0.016152716593245228,8.637816360024185e-05,0.014692444147069654,11,Respiratory (Other)
ONDANSETRON HYDROCHLORIDE,0.016152716593245228,8.637816360024186e-06,0.0118881013182264,11,Alimentary/Metabolism
VITAMIN D NOS,0.016152716593245228,0.0,0.013018215629637847,11,Alimentary/Metabolism
BUPRENORPHINE,0.016152716593245228,0.0004275719098211972,0.0074456674872219845,11,Analgesic/Opioid
SITAGLIPTIN,0.016152716593245228,0.0002591344908007256,0.0121652326382591,11,Antidiabetic
LACTULOSE,0.016152716593245228,0.003524229074889868,0.013536363624245427,11,Alimentary/Metabolism
AZATHIOPRINE,0.016152716593245228,0.00042325300164118513,0.026283148339059318,11,Immunosuppressant
GLIPIZIDE,0.014684287812041116,0.00033687483804094325,0.006705224225460416,10,Antidiabetic
POTASSIUM,0.014684287812041116,0.0,0.012054177796663427,10,Cardiovascular (Other)
LIDOCAINE HYDROCHLORIDE,0.014684287812041116,0.00020730759264058046,0.004237740680356718,10,Cardiovascular (Other)
PACLITAXEL,0.014684287812041116,0.001528893495724281,0.013323700856263243,10,Antineoplastic
DOXYCYCLINE,0.014684287812041116,0.0005053122570614149,0.0176777534972067,10,Antibacterial
KETAMINE,0.014684287812041116,0.0,0.010086979783723464,10,Anesthetic
GOLIMUMAB,0.014684287812041116,0.00019435086810054417,0.021472801375508947,10,Immunosuppressant
LECITHIN,0.014684287812041116,0.0,0.005883294918568116,10,Alimentary/Metabolism
KETAMINE HYDROCHLORIDE,0.014684287812041116,0.0,0.005522714115658064,10,Anesthetic
BUDESONIDE,0.014684287812041116,0.000980392156862745,0.012206006033452468,10,Anti-asthmatic
LIPITOR,0.014684287812041116,0.00020730759264058046,0.00733385394185403,10,Lipid Modifying
FLUTICASONA,0.014684287812041116,0.0001166105208603265,0.013430367816760396,10,Anti-asthmatic
TYLENOL EXTRA STRENGTH,0.014684287812041116,0.0,0.010953934064362606,10,Analgesic/Opioid
